regime,model,values,above_30,above_20,max_rate,p999_rate,fraction_above_30,fraction_above_20
high_congestion,cfc,5382,0,0,3.4663171768188477,3.4627411365509033,0.0,0.0
high_congestion,constant,5382,0,0,1.9818673133850098,1.9818673133850098,0.0,0.0
high_congestion,gru_dt,5382,0,0,3.732203483581543,3.658262014389038,0.0,0.0
high_congestion,gru_param_matched,5382,0,0,3.8081955909729004,3.7830193042755127,0.0,0.0
high_congestion,lstm_dt,5382,0,0,3.821568012237549,3.710292339324951,0.0,0.0
high_congestion,mlp_dt,5382,0,0,3.505552291870117,3.411547899246216,0.0,0.0
high_mobility,cfc,5313,0,0,4.316306114196777,4.2889604568481445,0.0,0.0
high_mobility,constant,5313,0,0,1.9818673133850098,1.9818673133850098,0.0,0.0
high_mobility,gru_dt,5313,0,0,4.334556579589844,4.325531959533691,0.0,0.0
high_mobility,gru_param_matched,5313,0,0,4.433708190917969,4.395512580871582,0.0,0.0
high_mobility,lstm_dt,5313,0,0,4.949460029602051,4.931602478027344,0.0,0.0
high_mobility,mlp_dt,5313,0,0,3.984316110610962,3.942296028137207,0.0,0.0
id,cfc,5370,0,0,4.730508327484131,4.73013162612915,0.0,0.0
id,constant,5370,0,0,1.9818673133850098,1.9818673133850098,0.0,0.0
id,gru_dt,5370,0,0,5.258591175079346,5.2502217292785645,0.0,0.0
id,gru_param_matched,5370,0,0,5.744747161865234,5.716492176055908,0.0,0.0
id,lstm_dt,5370,0,0,5.338852405548096,5.307377815246582,0.0,0.0
id,mlp_dt,5370,0,0,4.766873359680176,4.765963554382324,0.0,0.0
paired_sparse,cfc,2430,0,0,4.684055805206299,4.67993688583374,0.0,0.0
paired_sparse,constant,2430,0,0,1.9818673133850098,1.9818673133850098,0.0,0.0
paired_sparse,gru_dt,2430,0,0,5.011778831481934,5.001935005187988,0.0,0.0
paired_sparse,gru_param_matched,2430,0,0,5.459325790405273,5.431621551513672,0.0,0.0
paired_sparse,lstm_dt,2430,0,0,5.128570556640625,5.128019332885742,0.0,0.0
paired_sparse,mlp_dt,2430,0,0,4.81596565246582,4.783919811248779,0.0,0.0
