regime,trace_index,model,values,above_30,above_20,max_rate,p999_rate
id,0,cfc,279,0,0,4.2932329177856445,4.268069744110107
id,0,gru_dt,279,0,0,4.26880407333374,4.22683572769165
id,0,lstm_dt,279,0,0,4.187530040740967,4.170238018035889
id,0,mlp_dt,279,0,0,4.066923141479492,4.024484634399414
id,0,gru_param_matched,279,0,0,4.4325852394104,4.413541316986084
id,0,constant,279,0,0,1.9818673133850098,1.9818673133850098
id,1,cfc,261,0,0,2.9567556381225586,2.8521032333374023
id,1,gru_dt,261,0,0,2.6858246326446533,2.618452787399292
id,1,lstm_dt,261,0,0,2.7947468757629395,2.793447494506836
id,1,mlp_dt,261,0,0,2.963273763656616,2.881502866744995
id,1,gru_param_matched,261,0,0,2.8959240913391113,2.8586301803588867
id,1,constant,261,0,0,1.9818673133850098,1.9818673133850098
id,2,cfc,267,0,0,3.4648759365081787,3.3754255771636963
id,2,gru_dt,267,0,0,3.258636236190796,3.189805507659912
id,2,lstm_dt,267,0,0,3.6262271404266357,3.513474225997925
id,2,mlp_dt,267,0,0,3.5336639881134033,3.422091007232666
id,2,gru_param_matched,267,0,0,3.5333285331726074,3.4520204067230225
id,2,constant,267,0,0,1.9818673133850098,1.9818673133850098
id,3,cfc,270,0,0,3.1766927242279053,3.1711316108703613
id,3,gru_dt,270,0,0,3.2009122371673584,3.171470880508423
id,3,lstm_dt,270,0,0,3.250755548477173,3.230841636657715
id,3,mlp_dt,270,0,0,3.0578112602233887,3.054814338684082
id,3,gru_param_matched,270,0,0,3.0713953971862793,3.049412250518799
id,3,constant,270,0,0,1.9818673133850098,1.9818673133850098
id,4,cfc,246,0,0,4.6357550621032715,4.618922710418701
id,4,gru_dt,246,0,0,4.91060209274292,4.869275093078613
id,4,lstm_dt,246,0,0,5.069303512573242,4.988498687744141
id,4,mlp_dt,246,0,0,4.581370830535889,4.564061164855957
id,4,gru_param_matched,246,0,0,5.044467449188232,4.998178958892822
id,4,constant,246,0,0,1.9818673133850098,1.9818673133850098
id,5,cfc,282,0,0,3.3760972023010254,3.240398645401001
id,5,gru_dt,282,0,0,3.1283907890319824,3.052624225616455
id,5,lstm_dt,282,0,0,3.5389723777770996,3.3938045501708984
id,5,mlp_dt,282,0,0,3.3690452575683594,3.2764334678649902
id,5,gru_param_matched,282,0,0,3.4116134643554688,3.278934955596924
id,5,constant,282,0,0,1.9818673133850098,1.9818673133850098
id,6,cfc,282,0,0,4.730508327484131,4.73013162612915
id,6,gru_dt,282,0,0,5.258591175079346,5.2502217292785645
id,6,lstm_dt,282,0,0,5.338852405548096,5.307377815246582
id,6,mlp_dt,282,0,0,4.766873359680176,4.765963554382324
id,6,gru_param_matched,282,0,0,5.744747161865234,5.716492176055908
id,6,constant,282,0,0,1.9818673133850098,1.9818673133850098
id,7,cfc,288,0,0,2.869199275970459,2.843292236328125
id,7,gru_dt,288,0,0,2.8772847652435303,2.78536057472229
id,7,lstm_dt,288,0,0,3.0609333515167236,2.9180173873901367
id,7,mlp_dt,288,0,0,2.926238775253296,2.870680093765259
id,7,gru_param_matched,288,0,0,3.0588133335113525,2.964240789413452
id,7,constant,288,0,0,1.9818673133850098,1.9818673133850098
id,8,cfc,261,0,0,3.2747764587402344,3.270831346511841
id,8,gru_dt,261,0,0,3.461803913116455,3.43959379196167
id,8,lstm_dt,261,0,0,3.7586069107055664,3.68302583694458
id,8,mlp_dt,261,0,0,3.522145986557007,3.4984629154205322
id,8,gru_param_matched,261,0,0,3.822629928588867,3.739957094192505
id,8,constant,261,0,0,1.9818673133850098,1.9818673133850098
id,9,cfc,255,0,0,3.379481554031372,3.307986259460449
id,9,gru_dt,255,0,0,3.2949059009552,3.2001380920410156
id,9,lstm_dt,255,0,0,3.4369192123413086,3.337702751159668
id,9,mlp_dt,255,0,0,3.3961706161499023,3.3525373935699463
id,9,gru_param_matched,255,0,0,3.417447566986084,3.351067304611206
id,9,constant,255,0,0,1.9818673133850098,1.9818673133850098
id,10,cfc,255,0,0,4.709858417510986,4.694581508636475
id,10,gru_dt,255,0,0,5.0327630043029785,4.987113952636719
id,10,lstm_dt,255,0,0,5.140339374542236,5.109925746917725
id,10,mlp_dt,255,0,0,4.5437188148498535,4.530289173126221
id,10,gru_param_matched,255,0,0,5.364504814147949,5.293667793273926
id,10,constant,255,0,0,1.9818673133850098,1.9818673133850098
id,11,cfc,264,0,0,3.1898210048675537,3.1843557357788086
id,11,gru_dt,264,0,0,2.881983995437622,2.855944871902466
id,11,lstm_dt,264,0,0,3.244361639022827,3.240417957305908
id,11,mlp_dt,264,0,0,3.1100869178771973,3.1049487590789795
id,11,gru_param_matched,264,0,0,3.102562189102173,3.0780012607574463
id,11,constant,264,0,0,1.9818673133850098,1.9818673133850098
id,12,cfc,264,0,0,4.658502578735352,4.6556196212768555
id,12,gru_dt,264,0,0,4.976522445678711,4.961611270904541
id,12,lstm_dt,264,0,0,5.213288307189941,5.194228172302246
id,12,mlp_dt,264,0,0,4.631661415100098,4.606362819671631
id,12,gru_param_matched,264,0,0,5.359229564666748,5.3165669441223145
id,12,constant,264,0,0,1.9818673133850098,1.9818673133850098
id,13,cfc,264,0,0,3.479722499847412,3.4341835975646973
id,13,gru_dt,264,0,0,3.5649406909942627,3.4526379108428955
id,13,lstm_dt,264,0,0,3.3496265411376953,3.2997708320617676
id,13,mlp_dt,264,0,0,3.4973390102386475,3.4612812995910645
id,13,gru_param_matched,264,0,0,3.433934211730957,3.3295342922210693
id,13,constant,264,0,0,1.9818673133850098,1.9818673133850098
id,14,cfc,267,0,0,4.577223777770996,4.515073299407959
id,14,gru_dt,267,0,0,4.848912239074707,4.791759490966797
id,14,lstm_dt,267,0,0,4.832287311553955,4.792564392089844
id,14,mlp_dt,267,0,0,4.412359237670898,4.333810329437256
id,14,gru_param_matched,267,0,0,4.945415019989014,4.866866111755371
id,14,constant,267,0,0,1.9818673133850098,1.9818673133850098
id,15,cfc,261,0,0,3.050440549850464,2.979724407196045
id,15,gru_dt,261,0,0,2.7834739685058594,2.730009078979492
id,15,lstm_dt,261,0,0,2.732475996017456,2.6673734188079834
id,15,mlp_dt,261,0,0,3.0928802490234375,3.052976608276367
id,15,gru_param_matched,261,0,0,2.8262977600097656,2.8035049438476562
id,15,constant,261,0,0,1.9818673133850098,1.9818673133850098
id,16,cfc,282,0,0,4.612305641174316,4.592111110687256
id,16,gru_dt,282,0,0,4.868717670440674,4.804798126220703
id,16,lstm_dt,282,0,0,4.981001377105713,4.888152122497559
id,16,mlp_dt,282,0,0,4.581867694854736,4.5516767501831055
id,16,gru_param_matched,282,0,0,4.957947731018066,4.931746482849121
id,16,constant,282,0,0,1.9818673133850098,1.9818673133850098
id,17,cfc,279,0,0,2.899932861328125,2.882659673690796
id,17,gru_dt,279,0,0,2.8503737449645996,2.829467535018921
id,17,lstm_dt,279,0,0,2.986260414123535,2.9727277755737305
id,17,mlp_dt,279,0,0,3.159787654876709,3.093914031982422
id,17,gru_param_matched,279,0,0,3.0834271907806396,3.060293197631836
id,17,constant,279,0,0,1.9818673133850098,1.9818673133850098
id,18,cfc,264,0,0,4.543664455413818,4.4981560707092285
id,18,gru_dt,264,0,0,4.425921440124512,4.416744709014893
id,18,lstm_dt,264,0,0,4.573408603668213,4.553517818450928
id,18,mlp_dt,264,0,0,4.442085266113281,4.372583389282227
id,18,gru_param_matched,264,0,0,4.7444539070129395,4.708832740783691
id,18,constant,264,0,0,1.9818673133850098,1.9818673133850098
id,19,cfc,279,0,0,3.432077646255493,3.337618350982666
id,19,gru_dt,279,0,0,2.9416322708129883,2.8446013927459717
id,19,lstm_dt,279,0,0,3.255650281906128,3.155391216278076
id,19,mlp_dt,279,0,0,2.8634819984436035,2.8289401531219482
id,19,gru_param_matched,279,0,0,2.876396417617798,2.83242130279541
id,19,constant,279,0,0,1.9818673133850098,1.9818673133850098
paired_sparse,0,cfc,117,0,0,4.185887336730957,4.156071186065674
paired_sparse,0,gru_dt,117,0,0,3.9183318614959717,3.8997435569763184
paired_sparse,0,lstm_dt,117,0,0,3.9236786365509033,3.8942294120788574
paired_sparse,0,mlp_dt,117,0,0,3.956707000732422,3.9315857887268066
paired_sparse,0,gru_param_matched,117,0,0,3.8684632778167725,3.867154598236084
paired_sparse,0,constant,117,0,0,1.9818673133850098,1.9818673133850098
paired_sparse,1,cfc,96,0,0,2.5542619228363037,2.5148162841796875
paired_sparse,1,gru_dt,96,0,0,2.1062862873077393,2.102588176727295
paired_sparse,1,lstm_dt,96,0,0,2.066169261932373,2.0605084896087646
paired_sparse,1,mlp_dt,96,0,0,2.149402141571045,2.139587163925171
paired_sparse,1,gru_param_matched,96,0,0,2.2211344242095947,2.215437412261963
paired_sparse,1,constant,96,0,0,1.9818673133850098,1.9818673133850098
paired_sparse,2,cfc,132,0,0,2.8932628631591797,2.8740673065185547
paired_sparse,2,gru_dt,132,0,0,2.921543598175049,2.8846096992492676
paired_sparse,2,lstm_dt,132,0,0,3.0601296424865723,3.0165913105010986
paired_sparse,2,mlp_dt,132,0,0,3.202716112136841,3.128079652786255
paired_sparse,2,gru_param_matched,132,0,0,2.6691181659698486,2.668583869934082
paired_sparse,2,constant,132,0,0,1.9818673133850098,1.9818673133850098
paired_sparse,3,cfc,132,0,0,3.1766927242279053,3.1739842891693115
paired_sparse,3,gru_dt,132,0,0,3.2009122371673584,3.1865739822387695
paired_sparse,3,lstm_dt,132,0,0,3.250755548477173,3.2410573959350586
