model,regime,n_traces,intervals,events,nll_per_interval,nll_per_event,rate_mae,rate_rmse,rate_spearman,count_ratio,mark_count_ratios,time_rescaling_ks,time_rescaling_p
cfc,id,20,1790,1538,0.4717429615997081,0.5490376471153949,0.219533234834671,0.4427288174629211,0.8994535689223326,0.9831125080435588,"{""down"": 0.9347782505097277, ""service"": 0.9865797457115477, ""up"": 0.9890509716401273}","{""down"": 0.11985221922638323, ""service"": 0.03406092099888913, ""up"": 0.1581953271961753}","{""down"": 0.14701363066594114, ""service"": 0.09483674768984118, ""up"": 0.02398273945169507}"
gru_dt,id,20,1790,1538,0.4776287886686098,0.5558878619745199,0.2181078940629959,0.4402625858783722,0.8954350489999415,0.9900774271374446,"{""down"": 0.9492954930327246, ""service"": 0.9822813934081538, ""up"": 1.1290057058250946}","{""down"": 0.12641454691057574, ""service"": 0.03865246751725626, ""up"": 0.1845541741788534}","{""down"": 0.11002036146026943, ""service"": 0.03957114467315759, ""up"": 0.004896968418894336}"
lstm_dt,id,20,1790,1538,0.4848838612192346,0.5643316720301885,0.2251076996326446,0.4466746747493744,0.8806248210401784,1.0019062771285872,"{""down"": 0.9759680701959879, ""service"": 0.9979376925636763, ""up"": 1.0779037517763472}","{""down"": 0.11592736826075822, ""service"": 0.03502841606167856, ""up"": 0.16757943968026487}","{""down"": 0.17353891956615203, ""service"": 0.079611907493222, ""up"": 0.01401555187974829}"
mlp_dt,id,20,1790,1538,0.5145131785039961,0.5988157279077718,0.2477397173643112,0.4931408166885376,0.8323845384651765,0.9938649595761628,"{""down"": 0.9521528072387708, ""service"": 0.9985189733914566, ""up"": 0.9782328667553075}","{""down"": 0.10106983158634619, ""service"": 0.03551938883413441, ""up"": 0.1329788590757004}","{""down"": 0.308722282327917, ""service"": 0.07271028892949327, ""up"": 0.08701975474475294}"
ltc_capped,id,20,1790,1538,0.8889632137940287,1.034619084974845,0.6851195096969604,0.9567434191703796,0.7272212233689501,1.1553605096330537,"{""down"": 4.016255511140701, ""service"": 0.7025345197682848, ""up"": 3.896539287162562}","{""down"": 0.3992469226008231, ""service"": 0.2017344564438467, ""up"": 0.37233652728513883}","{""down"": 3.60521016657898e-13, ""service"": 5.357017262078841e-47, ""up"": 3.28625013501707e-11}"
constant,id,20,1790,1538,0.6393468315665631,0.7441032695085488,0.4274882376194,0.7967343926429749,0.8240713358773544,1.0527741852783663,"{""down"": 0.8976337345001533, ""service"": 1.077752621314768, ""up"": 0.8988470095411126}","{""down"": 0.165171024868757, ""service"": 0.06760683994971556, ""up"": 0.1923293880430067}","{""down"": 0.014457600855817638, ""service"": 1.2592209712498348e-05, ""up"": 0.0029224141067473197}"
cfc,high_mobility,20,1771,1519,0.8053346817498739,0.9389385920862584,0.3213788568973541,0.5298890471458435,0.8011562478879228,0.987487701079958,"{""down"": 0.5117142101951361, ""service"": 1.1780163341625667, ""up"": 0.5641944172522615}","{""down"": 0.30015780101955036, ""service"": 0.04386412138278495, ""up"": 0.28795423292847167}","{""down"": 4.0770014701203856e-17, ""service"": 0.03452860142792724, ""up"": 1.805249230621474e-15}"
gru_dt,high_mobility,20,1771,1519,0.7525525955182573,0.8774000307194427,0.2908967435359955,0.4861939251422882,0.8124493470888464,0.9180629298852964,"{""down"": 0.6625417990515412, ""service"": 1.0030925559939645, ""up"": 0.7731174244038109}","{""down"": 0.221355016805871, ""service"": 0.04509982853729294, ""up"": 0.15810607242883423}","{""down"": 1.969770386421533e-09, ""service"": 0.02740186264841027, ""up"": 6.390099255681878e-05}"
lstm_dt,high_mobility,20,1771,1519,0.7639979906405711,0.8907442010694215,0.2964772880077362,0.490166038274765,0.8096780462160099,0.9659037818260352,"{""down"": 0.6261959548952044, ""service"": 1.088098822815391, ""up"": 0.7296148345250837}","{""down"": 0.24781878284183234, ""service"": 0.031597738917775176, ""up"": 0.18615752437990807}","{""down"": 9.730318731676705e-12, ""service"": 0.24161902279693004, ""up"": 1.1606081364094231e-06}"
mlp_dt,high_mobility,20,1771,1519,0.783073200388893,0.9129839617437324,0.3441756963729858,0.5542068481445312,0.7354734953358452,0.8809034683109193,"{""down"": 0.7198441299299678, ""service"": 0.9000005868106312, ""up"": 0.9538717884522779}","{""down"": 0.1700637311820311, ""service"": 0.08256430260716774, ""up"": 0.1145273546416855}","{""down"": 9.94847683334875e-06, ""service"": 1.1738943892555555e-06, ""up"": 0.008696356260101899}"
