regime,comparison,n_traces,mean_nll_difference,ci_lo,ci_hi,cfc_better_fraction
id,cfc-minus-gru_dt,20,-0.0058197137101135745,-0.01202259547547597,0.0006363055024528468,0.75
id,cfc-minus-lstm_dt,20,-0.013056101328764416,-0.0199106204809736,-0.00641668838480614,0.8
id,cfc-minus-mlp_dt,20,-0.04281742907734168,-0.05265047113929188,-0.033063850156156316,1.0
id,cfc-minus-gru_param_matched,20,-0.006609749410836051,-0.014191671145640737,0.0011024559440696042,0.65
id,cfc-minus-constant,20,-0.16842346606612174,-0.21051785152185062,-0.1295589597282707,1.0
paired_sparse,cfc-minus-gru_dt,20,-0.01258120923541135,-0.035012737282883996,0.010242609434547197,0.7
paired_sparse,cfc-minus-lstm_dt,20,-0.018086534203244336,-0.04403776901496754,0.009729147729088915,0.75
paired_sparse,cfc-minus-mlp_dt,20,-0.016662019454296937,-0.04373694735880657,0.008479026624635566,0.55
paired_sparse,cfc-minus-gru_param_matched,20,-0.010917548205337918,-0.028964140920410445,0.009843266382702035,0.65
paired_sparse,cfc-minus-constant,20,-0.22397373290821587,-0.3128879144614145,-0.14422854882302158,0.95
high_mobility,cfc-minus-gru_dt,20,0.05275795234706286,0.03202064180511274,0.07456139731629062,0.15
high_mobility,cfc-minus-lstm_dt,20,0.041650987130130726,0.02527606002522366,0.05929595017768646,0.15
high_mobility,cfc-minus-mlp_dt,20,0.02217614556939431,-0.008005643476722597,0.05454869242971209,0.4
high_mobility,cfc-minus-gru_param_matched,20,0.055796096307797374,0.029955818714989594,0.08276736945435482,0.15
high_mobility,cfc-minus-constant,20,-0.21246089499974213,-0.2703420590748962,-0.16257446621816946,1.0
high_congestion,cfc-minus-gru_dt,20,0.01098001654018993,0.005709060246285857,0.015883705992238806,0.15
high_congestion,cfc-minus-lstm_dt,20,0.004659306763658511,-0.003637322395061438,0.01406740356185426,0.55
high_congestion,cfc-minus-mlp_dt,20,-0.030824489798460177,-0.044843852435348316,-0.01746375194933877,0.9
high_congestion,cfc-minus-gru_param_matched,20,0.014423872666159632,0.010913982200299698,0.01781929097379194,0.05
high_congestion,cfc-minus-constant,20,-0.29990424642617974,-0.32922409928330576,-0.2707817665766243,1.0
