regime,hazard_model,policy,n_units,policy_effect_error_mae,policy_effect_error_mae_ci_lo,policy_effect_error_mae_ci_hi,policy_effect_error_bias,policy_effect_error_bias_ci_lo,policy_effect_error_bias_ci_hi,policy_effect_sign_agreement,goal_utility_ratio_bias,goal_utility_ratio_mae,goal_utility_ratio_rmse,critical_success_rate_bias,critical_success_rate_mae,critical_success_rate_rmse,mean_latency_bias,mean_latency_mae,mean_latency_rmse,energy_bias,energy_mae,energy_rmse,outages_bias,outages_mae,outages_rmse,recoveries_bias,recoveries_mae,recoveries_rmse,reroutes_bias,reroutes_mae,reroutes_rmse,handovers_bias,handovers_mae,handovers_rmse,final_queued_bias,final_queued_mae,final_queued_rmse,final_inflight_bias,final_inflight_mae,final_inflight_rmse
id,cfc,throughput,6,0.05879162065639665,0.03265170404497181,0.09030683652800785,0.018002266279064455,-0.032403192761022485,0.07150724953014405,0.4,-0.051605463318886706,0.12183893219955715,0.15329388006133135,-0.047021772442421256,0.13474107068803529,0.16281101532057982,-1.4852081965625488,2.4796206877609346,3.7935554379129406,-25.081333333333333,29.953333333333337,39.70796306368115,0.6666666666666666,1.3333333333333333,1.4142135623730951,0.16666666666666666,0.8333333333333334,1.0801234497346435,3.8333333333333335,6.5,7.820912137766711,0.16666666666666666,0.8333333333333334,1.35400640077266,11.166666666666666,24.5,27.113957045526693,-2.8333333333333335,4.833333333333333,5.307227776030219
id,cfc,semantic,6,0.05879162065639665,0.03265170404497181,0.09030683652800785,0.018002266279064455,-0.032403192761022485,0.07150724953014405,0.4,-0.03360319703982225,0.09603806200664955,0.14926419725897874,-0.0356133926057156,0.11230209503812512,0.15380527070223574,-1.976832180386187,2.806131280550439,4.386492926969181,-4.065333333333342,27.175999999999988,37.25562450601698,0.6666666666666666,1.3333333333333333,1.4142135623730951,0.3333333333333333,1.3333333333333333,1.5275252316519468,2.5,5.166666666666667,5.986094998689324,-1.0,1.3333333333333333,1.632993161855452,5.666666666666667,18.666666666666668,23.643180835073778,-2.0,2.0,3.4641016151377544
id,constant,throughput,6,0.0671562340927661,0.030524047686529703,0.10524518717833954,0.039342455639593855,-0.017256068259034557,0.0960797152341873,0.8,-0.045612212230583586,0.0890324756220308,0.1363364338286227,-0.08777547500759425,0.10589141703657974,0.1442195437584698,1.5499149459872592,2.1903602190513944,2.6903668802933267,31.923333333333346,54.28333333333334,60.845576667494896,0.6666666666666666,1.3333333333333333,1.632993161855452,1.3333333333333333,1.3333333333333333,1.7320508075688772,4.666666666666667,9.0,10.295630140987,0.3333333333333333,1.0,1.4142135623730951,-9.666666666666666,27.0,31.310275203730377,1.3333333333333333,3.3333333333333335,3.6514837167011076
id,constant,semantic,6,0.0671562340927661,0.030524047686529703,0.10524518717833954,0.039342455639593855,-0.017256068259034557,0.0960797152341873,0.8,-0.006269756590989726,0.11453135557070149,0.16640042940903324,-0.035295776498625815,0.12193349677479005,0.17688925127094612,0.0808286095422146,1.5538197941992553,2.148182221583544,28.161333333333356,49.80266666666668,54.53985170496892,1.5,2.1666666666666665,2.614064523559687,1.3333333333333333,2.0,2.6457513110645907,4.833333333333333,7.166666666666667,9.192388155425117,0.0,1.0,1.1547005383792515,-10.166666666666666,20.833333333333332,22.850966427411045,-2.5,3.5,4.06201920231798
id,gru_dt,throughput,6,0.061154722931395185,0.03465160490310123,0.09640290931498517,0.024606907822710328,-0.02783559239075069,0.0795840399733221,0.4,-0.016235999297863835,0.06339800602683267,0.07399777124443344,-0.05106315253374078,0.09550759697818523,0.11380534153054386,0.32473508884192687,2.248177015915075,2.95221541782194,8.771333333333331,21.518000000000004,34.50883616312399,0.3333333333333333,1.0,1.2909944487358056,1.0,1.6666666666666667,2.0,3.0,6.333333333333333,6.757711644237764,-1.3333333333333333,1.3333333333333333,1.8257418583505538,-3.8333333333333335,13.166666666666666,16.91646141090585,2.1666666666666665,4.166666666666667,5.212165257037297
id,gru_dt,semantic,6,0.061154722931395185,0.03465160490310123,0.09640290931498517,0.024606907822710328,-0.02783559239075069,0.0795840399733221,0.4,0.008370908524846496,0.046392430647218465,0.04936896595830145,-0.0008468729993790525,0.05671006281842634,0.06678167271716286,-0.9376109652780077,1.7629013718385158,2.3586484058934136,7.380666666666666,19.85666666666667,25.960868141621674,1.3333333333333333,1.6666666666666667,2.0816659994661326,1.5,2.1666666666666665,2.41522945769824,7.5,8.5,10.622303579418794,-1.0,1.3333333333333333,2.0816659994661326,-0.8333333333333334,14.833333333333334,17.440374613713626,-1.0,3.0,3.4641016151377544
sparse,cfc,throughput,6,0.04769590103289998,0.026611145912880826,0.07205199367713065,-0.026667200701729555,-0.06649604159348117,0.011548452083150114,0.6666666666666666,0.04369078601982428,0.10515137842119743,0.12698761345073303,0.038176781693017,0.10790539699785735,0.1523966182325585,0.1207151469380728,1.4577011309008927,2.129820230428934,-0.3466666666666593,26.18133333333333,30.256738753540503,-0.3333333333333333,0.3333333333333333,0.5773502691896257,0.0,1.0,1.1547005383792515,-2.5,3.5,4.4907311951024935,-1.0,1.6666666666666667,2.0816659994661326,-6.166666666666667,16.5,18.03237828647865,1.1666666666666667,4.833333333333333,5.307227776030219
sparse,cfc,semantic,6,0.04769590103289998,0.026611145912880826,0.07205199367713065,-0.026667200701729555,-0.06649604159348117,0.011548452083150114,0.6666666666666666,0.01702358531809472,0.08077678658498604,0.08876081871587074,0.04568743249770415,0.07896956255402778,0.08975723071410495,-0.2487071057011796,1.7474464381544037,1.9532616677829189,-14.577333333333314,27.925333333333313,32.92720949812377,0.0,1.0,1.2909944487358056,-0.3333333333333333,1.3333333333333333,1.5275252316519468,-0.6666666666666666,5.666666666666667,7.852812659593164,-0.3333333333333333,2.6666666666666665,3.3166247903554,10.0,16.333333333333332,18.34847859269718,-2.0,4.0,4.898979485566356
sparse,constant,throughput,6,0.07686555750902156,0.019631483212709206,0.14761449450414235,-0.048017835705085,-0.13825906930148427,0.02350783417120254,0.5,0.130073068620992,0.1465978325884033,0.17093735132477372,0.13927769101761056,0.1695980571503336,0.21155045779369713,-1.6467231595350864,2.191266823149441,2.6594766677975206,7.3320000000000105,36.992,40.52331391516082,0.6666666666666666,1.6666666666666667,2.23606797749979,0.8333333333333334,1.5,1.6832508230603465,1.6666666666666667,9.333333333333334,11.474609652039003,-2.5,2.5,2.798809270624444,-4.166666666666667,17.5,20.1038968030247,1.0,3.0,3.0
sparse,constant,semantic,6,0.07686555750902156,0.019631483212709206,0.14761449450414235,-0.048017835705085,-0.13825906930148427,0.02350783417120254,0.5,0.08205523291590698,0.11999731604769348,0.15021430004807032,0.09727362651810868,0.13108485710353285,0.16720417570741006,-0.7893905340547561,1.6507065344911174,2.1702724446304407,1.255333333333347,24.541999999999973,29.455244196350936,0.16666666666666666,1.8333333333333333,2.041241452319315,0.3333333333333333,2.3333333333333335,2.581988897471611,0.0,10.666666666666666,12.0,-1.3333333333333333,1.6666666666666667,2.309401076758503,-0.6666666666666666,13.333333333333334,15.91644851508443,0.8333333333333334,2.8333333333333335,3.763863263545405
