regime,hazard_model,policy,n_scenarios,replicates_per_scenario,goal_utility_ratio_mean,goal_utility_ratio_ci_lo,goal_utility_ratio_ci_hi,critical_success_rate_mean,critical_success_rate_ci_lo,critical_success_rate_ci_hi,mean_latency_mean,mean_latency_ci_lo,mean_latency_ci_hi,energy_mean,energy_ci_lo,energy_ci_hi,outages_mean,outages_ci_lo,outages_ci_hi,reroutes_mean,reroutes_ci_lo,reroutes_ci_hi
id,cfc,semantic,6,2,0.123277984308941,0.07745815450760368,0.17225501506255983,0.13726871325555534,0.08217049763102392,0.19440340361392994,5.232963773587557,3.8586162998555857,6.65614287572778,45.086999999999996,28.953666666666667,63.88633333333332,4.75,4.0,5.5,18.416666666666668,13.166666666666666,22.666666666666668
id,cfc,throughput,6,2,0.12460925707455785,0.08460269966527378,0.1776584534710471,0.1324930635327391,0.08343684083100555,0.19476191601002285,5.479926832772736,3.9883654088266547,6.949199439103931,44.47766666666666,34.08066666666666,53.031,4.916666666666667,4.083333333333333,5.583333333333333,19.333333333333332,13.5,24.166666666666668
id,constant,semantic,6,2,0.21271602182401703,0.17968943512106417,0.24099268444143673,0.2248131603966844,0.1824320416425679,0.27311215354693613,5.893599546506654,5.032983696858078,6.761116704999644,78.62100000000002,69.41733333333333,88.21033333333334,5.333333333333333,5.0,5.5,19.166666666666668,16.666666666666668,21.083333333333332
id,constant,throughput,6,2,0.19800826598254662,0.12152243960637715,0.28067499028496173,0.1882502455458269,0.11964215403120944,0.2634169594991703,6.56689041764304,5.361689365358195,7.85698486293552,92.012,65.90733333333334,115.89233333333335,4.75,4.333333333333333,5.166666666666667,18.166666666666668,16.75,19.75
id,gru_dt,semantic,6,2,0.15646082800468952,0.09073226063557414,0.230974398188892,0.15851160695576721,0.08484838745921437,0.24239547670920222,6.436218198886603,4.973044187599328,8.055452644314002,67.04399999999998,50.29933333333333,78.38466666666666,5.416666666666667,4.166666666666667,6.833333333333333,21.166666666666668,14.25,28.333333333333332
id,gru_dt,throughput,6,2,0.1449099936664984,0.07308632103525242,0.2298612316841452,0.12722121860016147,0.06038466916557281,0.2158248081841432,6.616725235282222,5.371954716801214,8.080903755686572,67.70766666666667,47.714999999999996,87.70033333333333,4.333333333333333,3.5,5.333333333333333,16.166666666666668,10.75,21.583333333333332
id,gru_param_matched,semantic,6,2,0.20750208472622236,0.12107470977855343,0.2970294396187801,0.22922157250961595,0.13031715567041655,0.334071508201943,6.163301001287759,4.540050439469183,7.885001831566473,71.92166666666667,56.77333333333333,85.87766666666664,4.5,3.8333333333333335,5.25,16.333333333333332,13.666666666666666,19.0
id,gru_param_matched,throughput,6,2,0.17776944183178334,0.11128716175991359,0.23967724016231942,0.17654458938321163,0.10978420551756463,0.24002955714449517,6.303984793281473,4.863859911868995,8.11643743679995,70.36766666666665,57.777666666666654,81.74966666666664,4.583333333333333,3.8333333333333335,5.25,16.25,13.0,19.333333333333332
id,oracle,semantic,6,2,0.15965844679378918,0.11415687766885733,0.2157409849079902,0.16801347457158222,0.10927423931305051,0.23673366018222872,6.454437289268827,5.476644207209702,7.418316715133881,61.059,45.58366666666665,78.88866666666665,4.083333333333333,3.5,4.583333333333333,15.166666666666666,12.166666666666666,17.5
id,oracle,throughput,6,2,0.14984818416346676,0.09302698695706861,0.2112550699210857,0.1424572990362464,0.06326736920486918,0.221617490696438,6.269338553342423,5.118122125991914,7.529623814479751,60.919666666666664,47.352,76.37899999999999,4.0,3.3333333333333335,4.666666666666667,14.75,11.833333333333334,17.416666666666668
sparse,cfc,semantic,6,2,0.18522703450568279,0.11126091429800213,0.26338511264068615,0.2053463953057606,0.11967719780219781,0.29785319255907483,5.515846617085003,4.230293792012332,6.983334113418966,66.32066666666667,49.41633333333334,84.0716666666667,3.75,3.0833333333333335,4.416666666666667,14.0,11.833333333333334,16.083333333333332
