regime,hazard_model,policy,scenario,replicate,seed,events,generated,delivered,timely_critical,generated_critical,goal_utility_ratio,critical_success_rate,mean_latency,energy,outages,recoveries,reroutes,handovers,final_queued,final_inflight
id,cfc,semantic,0.0,0.5,7.67814129181337e+18,360.5,70.5,37.5,3.5,19.5,0.18416537353379409,0.18157894736842106,5.1068377859996925,87.75599999999999,5.5,4.5,24.0,3.0,27.0,6.0
id,cfc,semantic,1.0,0.5,4.684862728505352e+18,312.5,60.5,25.0,5.5,22.0,0.2171206148829683,0.25427350427350426,4.433833807957883,49.87599999999998,4.5,3.0,16.5,5.5,32.5,3.0
id,cfc,semantic,2.0,0.5,2.7547795088805263e+18,254.0,62.5,10.0,2.5,19.5,0.0965358510572282,0.1289473684210526,2.4558060953522514,17.686,3.0,1.0,6.5,6.5,52.5,0.0
id,cfc,semantic,3.0,0.5,8.089419121481943e+18,331.0,66.5,15.5,2.5,18.5,0.11547905677091705,0.1394230769230769,4.671474429440805,30.548,6.0,5.0,24.5,7.0,46.5,4.5
id,cfc,semantic,4.0,0.5,6.485495487828196e+18,299.0,57.5,19.5,2.0,21.5,0.09080583727501684,0.09307359307359306,8.050859247096641,35.394,4.5,4.0,19.0,6.5,30.5,7.5
id,cfc,semantic,5.0,0.5,1.4656183814756362e+19,318.0,66.0,23.0,0.5,20.5,0.0355611723337216,0.0263157894736842,6.678971275678075,49.262,5.0,4.0,20.0,9.5,38.5,4.5
id,cfc,throughput,0.0,0.5,7.67814129181337e+18,328.5,67.0,24.0,3.0,18.0,0.1443682521282135,0.1609907120743034,4.863859428785294,55.337999999999994,5.5,3.5,27.0,2.5,43.0,0.0
id,cfc,throughput,1.0,0.5,4.684862728505352e+18,300.5,52.0,23.5,5.5,19.5,0.24879751952942644,0.28157894736842104,4.346691890895516,45.74799999999999,4.5,3.0,16.0,6.0,25.5,3.0
id,cfc,throughput,2.0,0.5,2.7547795088805263e+18,256.0,60.0,11.0,2.5,21.0,0.10287423935712625,0.1224256292906178,2.540915033961579,22.052,3.0,1.0,6.5,9.0,49.0,0.0
id,cfc,throughput,3.0,0.5,8.089419121481943e+18,341.5,66.0,22.5,1.5,19.0,0.10068167179388579,0.07777777777777775,5.808286712350219,51.209999999999994,6.0,4.5,24.0,7.0,40.5,3.0
id,cfc,throughput,4.0,0.5,6.485495487828196e+18,300.0,58.5,18.0,1.5,21.0,0.0786181888860316,0.0817307692307692,6.983309208565863,37.242,5.5,4.0,24.0,4.5,39.0,1.5
id,cfc,throughput,5.0,0.5,1.4656183814756362e+19,320.5,68.5,25.0,1.5,21.0,0.0723156707526635,0.07045454545454545,8.336498722077945,55.275999999999996,5.0,4.0,18.5,8.5,39.0,4.5
id,constant,semantic,0.0,0.5,7.67814129181337e+18,357.5,71.0,41.0,5.5,24.0,0.218574257041911,0.222027972027972,5.038693736395408,91.52600000000004,5.5,4.0,21.0,3.5,28.5,1.5
id,constant,semantic,1.0,0.5,4.684862728505352e+18,356.5,62.0,42.5,4.0,17.5,0.21965995836224844,0.2,5.685063614933382,94.88,5.5,4.0,19.5,6.5,18.0,1.5
id,constant,semantic,2.0,0.5,2.7547795088805263e+18,312.5,54.0,31.5,3.0,22.5,0.14158794541632874,0.14372469635627524,7.445702707766241,65.59200000000001,4.5,3.5,13.5,8.0,18.0,4.5
id,constant,semantic,3.0,0.5,8.089419121481943e+18,352.5,62.0,34.0,6.0,18.5,0.2250455298284166,0.33074534161490676,7.4042948546997795,71.36800000000001,5.5,4.5,20.0,6.0,23.5,4.5
id,constant,semantic,4.0,0.5,6.485495487828196e+18,325.0,65.0,29.5,3.5,17.5,0.2032817148205657,0.2023809523809523,4.647608728179143,64.924,5.5,3.5,22.5,5.0,35.5,0.0
id,constant,semantic,5.0,0.5,1.4656183814756362e+19,331.5,59.0,37.5,4.0,17.0,0.26814672547463175,0.25,5.140233637065978,83.43600000000002,5.5,3.5,18.5,8.5,21.5,0.0
id,constant,throughput,0.0,0.5,7.67814129181337e+18,363.5,68.0,47.0,5.0,20.0,0.2512054926780597,0.2404092071611253,5.671797240017591,114.89600000000002,4.5,3.5,18.5,4.0,16.5,4.5
id,constant,throughput,1.0,0.5,4.684862728505352e+18,376.5,61.5,52.5,4.0,21.5,0.1913349220290775,0.1379310344827586,6.932707767212943,122.48400000000001,4.5,4.0,18.0,7.5,4.0,5.0
id,constant,throughput,2.0,0.5,2.7547795088805263e+18,320.5,67.5,27.0,1.5,23.0,0.07147934957253835,0.06439393939393935,8.252330774061278,56.77199999999999,4.0,3.5,15.5,6.5,34.5,6.0
