hazard_model,regime,policy,scenario,replicate,seed,events,generated,delivered,timely_critical,generated_critical,goal_utility_ratio,critical_success_rate,mean_latency,energy,outages,recoveries,reroutes,handovers,final_queued,final_inflight,state_hash
oracle,id,throughput,3,0,4075354663187747816,340,71,20,0,23,0.022943742098609367,0.0,7.164609659270011,43.58,5,4,21,10,45,6,f581c1931edbdc068081e2bac13659c4e60b0a75361f3f0f78e987441889dea1
oracle,id,throughput,3,1,12103483579776137634,315,54,26,0,16,0.1359063047285465,0.0,2.8503141693842093,62.683999999999976,5,3,16,7,28,0,87956511f4a67eecd14dcd9015eff1dcfda1670d02aa2ed2799f0a193481e579
oracle,id,semantic,3,0,4075354663187747816,309,58,13,1,21,0.0331475054229935,0.047619047619047616,7.603072597246266,24.304,5,4,21,6,39,6,89671f83c3eab1b23c2d5921b15768e99bac775728cad94e64d505860b04fbed
oracle,id,semantic,3,1,12103483579776137634,346,51,38,2,13,0.21479133064516143,0.15384615384615385,5.444388853071336,85.98799999999996,5,4,18,6,7,6,1e5e03c753cbac58b575a575f645618a380a409c55cb73f5487fb16a12f09dc3
cfc,id,throughput,3,0,4075354663187747816,369,58,26,1,18,0.09346428571428576,0.05555555555555555,7.037898648357981,56.527999999999984,8,7,34,8,26,6,fde15162df67ada8137e47f999bcdfaad2d0996c6a48b54c18b0c9f81c902ea9
cfc,id,throughput,3,1,12103483579776137634,314,74,19,2,20,0.10789905787348594,0.1,4.578674776342456,45.89200000000001,4,2,14,6,55,0,7a3c5456c70a4c32311b717580eed0578d101cd1795b23a741c0c09d21f6eb8e
cfc,id,semantic,3,0,4075354663187747816,346,66,14,3,24,0.09714385297845378,0.125,4.121035195420092,22.603999999999996,7,7,29,9,43,9,da6c681afc8ae2719bcfe875ce3f20281422961118d2ae28ec40bed5556a5f0f
cfc,id,semantic,3,1,12103483579776137634,316,67,17,2,13,0.1338142605633804,0.15384615384615385,5.2219136634615175,38.492000000000004,5,3,20,5,50,0,36700942fd0923dbee0c4bec460cc7f9bb925d3c639ef8c188ff895c9d8b7f77
gru_dt,id,throughput,3,0,4075354663187747816,397,63,41,3,21,0.17679481792717094,0.14285714285714285,6.294047814585141,93.19999999999997,8,8,29,7,13,9,4299796cedb80c5529744262bd8178fdc9351903cb48f94fd069dac653b5a671
gru_dt,id,throughput,3,1,12103483579776137634,285,49,11,1,17,0.07071616871704749,0.058823529411764705,4.889308032037581,24.464,5,3,20,4,38,0,f6c2e6e3b92d57dd7c367ff1f9338d422ab1bb150e8980348c4776ebe4b329fa
gru_dt,id,semantic,3,0,4075354663187747816,412,63,42,3,21,0.18619817927170873,0.14285714285714285,4.359226509820961,86.13599999999995,10,9,35,8,15,6,bc73bc16418d0cec21a978b5461a29a8b52284424ce7588f73f9344723b0ae9b
gru_dt,id,semantic,3,1,12103483579776137634,359,51,29,3,17,0.17123702422145334,0.17647058823529413,7.190445476576485,59.77999999999998,7,7,31,3,13,9,173ab8b619be8d643edc4b9d80fbefb734dfd0e1ef98fae876f6175cc97e6862
constant,id,throughput,3,0,4075354663187747816,338,69,19,1,23,0.03910549872122764,0.043478260869565216,9.251478575326589,31.780000000000005,6,5,22,8,44,6,6750acb6f3f649551db1e504d2f45f5fea18dadf3f1acfa13d934407a4abcb7b
constant,id,throughput,3,1,12103483579776137634,320,67,25,3,14,0.12731520815632974,0.21428571428571427,8.27190368888762,58.04799999999999,4,3,12,4,36,6,3ee1d2da3b062355a1686f378605eb4ddf030f7e264eb1bbea517cfe744cb88d
constant,id,semantic,3,0,4075354663187747816,388,58,44,7,23,0.2455105802047783,0.30434782608695654,6.390047982596817,91.73600000000002,7,6,28,8,11,3,114c7254b222a5825ce712766d89449fb45108faa27f47fd777121ce1f2f8618
constant,id,semantic,3,1,12103483579776137634,317,66,24,5,14,0.20458047945205493,0.35714285714285715,8.418541726802742,50.999999999999986,4,3,12,4,36,6,7f396c2b0f925ff73084722cf7d0b3e5c68aa7cb8bd6e058973b660367a94b1e
oracle,id,throughput,4,0,12371909476235374052,309,67,27,1,22,0.062276411960132914,0.045454545454545456,10.422032976845847,60.407999999999994,3,3,14,3,31,9,8fadcba9f1850dc42bf2b428743a4de28b442fb1faa94480d1413c87bb1be931
oracle,id,throughput,4,1,599081499421017620,268,60,13,3,19,0.12997119029567858,0.15789473684210525,5.270213744028011,29.019999999999996,3,2,13,6,44,3,70f4ed3629286dbab4940b97137a492bcadad04a0cd7a9320505cc9b91d2b7f0
oracle,id,semantic,4,0,12371909476235374052,275,68,13,1,24,0.05350939849624062,0.041666666666666664,6.0850461525893484,25.275999999999996,3,2,14,3,52,3,e6cc1ad93e23178256e3fb67a613281f82154ec1876d7776ad397215a2b3262c
oracle,id,semantic,4,1,599081499421017620,315,62,28,5,17,0.2566462151394424,0.29411764705882354,5.82991117590033,62.595999999999975,5,4,19,5,31,3,48348678b5ce730ce8982c6b056a349f10895e9b57a5f95f752152afd6b5e44b
cfc,id,throughput,4,0,12371909476235374052,312,69,19,1,26,0.045704208654416136,0.038461538461538464,6.442833893087872,38.044,5,4,24,3,47,3,c14d8f80854b9c0388fc5d963a8dc8d3324aa7cfd87ecae4efba6afe9116d3f7
cfc,id,throughput,4,1,599081499421017620,288,48,17,2,16,0.11153216911764711,0.125,7.523784524043853,36.44,6,4,24,6,31,0,5aab9fc2bf4114c27d70c66244fced10cff60b9ed2f166f86c8312262b5989cc
cfc,id,semantic,4,0,12371909476235374052,292,62,17,2,22,0.08448835616438359,0.09090909090909091,10.46739836431348,30.284000000000002,4,3,18,5,39,6,c7643b58c74e4725359feedd313d0e6ebb6d2825ef7e0acb8ce57865292cfdde
cfc,id,semantic,4,1,599081499421017620,306,53,22,2,21,0.09712331838565023,0.09523809523809523,5.634320129879801,40.504,5,5,20,8,22,9,018b77e6b80aff817c3f7ae58760129d44a860c0eb02a938d1a0d74a489dc6f0
gru_dt,id,throughput,4,0,12371909476235374052,338,71,38,2,21,0.11260800000000007,0.09523809523809523,9.54595562086238,92.18,3,3,15,4,24,9,54d488729b31bf9d0b827bd1a61df9d12de023f299f11ba35464d1721c9c0845
gru_dt,id,throughput,4,1,599081499421017620,315,59,30,2,23,0.11920352781546817,0.08695652173913043,5.106027411201321,58.44,5,3,19,8,29,0,319432fba81b6c23b8180f4f9946ead06865c19e55d5d1d5fbd76b2dc7eb7884
gru_dt,id,semantic,4,0,12371909476235374052,322,50,24,1,20,0.06575669291338587,0.05,9.649561740090608,45.888000000000005,7,6,31,4,23,3,991079a8497df110948bdd3a8daa1287e86f0eb28d10ee4c1bee3f5c87fcb2c5
gru_dt,id,semantic,4,1,599081499421017620,334,64,44,2,22,0.11369215155615706,0.09090909090909091,5.9428433017278,88.74800000000002,3,3,10,5,11,9,a1cfcaed159bf264aa1467faad5e287648f5949b935e5a7904fefc73102e6dfe
constant,id,throughput,4,0,12371909476235374052,342,62,36,4,18,0.21744907407407418,0.2222222222222222,5.385508388338962,84.85200000000002,6,4,26,4,26,0,430248fcac72db7be570d21de9a257ece42d4577c543e8a92d672a600197c5b6
constant,id,throughput,4,1,599081499421017620,334,65,39,4,20,0.2159295373665481,0.2,5.46879188716953,93.21600000000005,5,3,17,6,25,1,503e2bea2c7b7ae83b667c5cbbad0506186ebf14d48348db5539d1517bff545e
constant,id,semantic,4,0,12371909476235374052,335,72,34,4,21,0.16470576540755474,0.19047619047619047,6.1633038026784215,70.90000000000002,5,3,20,5,38,0,f75c120ee1c280213fafd720a0630a470794f4fc18502dcbaf236bb5dcff7d43
constant,id,semantic,4,1,599081499421017620,315,58,25,3,14,0.24185766423357677,0.21428571428571427,3.131913653679864,58.94799999999998,6,4,25,5,33,0,b508da38f81590fde0ba650466ed244301c98fddd7892da70b8d9a0c414fe2a5
oracle,id,throughput,5,0,15500975987367173758,346,71,15,1,26,0.061469208211143725,0.038461538461538464,6.173656246937506,30.444000000000003,8,7,36,9,50,6,10ab023ad1c059b77b177f6dd4eb53b84597309e6f8dc89dad797f98a03f07bb
oracle,id,throughput,5,1,13811391642145551356,313,56,46,1,18,0.08389855072463771,0.05555555555555555,10.937053956983416,108.13600000000002,2,2,1,7,1,9,185ad00cb216502dcab89b22a8afb0ddf911338feccfb96a30b87961fb6931f9
oracle,id,semantic,5,0,15500975987367173758,382,64,47,2,29,0.09269518413597738,0.06896551724137931,6.118558893752078,88.03999999999998,7,5,30,9,17,0,c3ae939728e9950858f5f6b00c06f6c25299681c0262be185d78f213dd0a82b7
oracle,id,semantic,5,1,13811391642145551356,323,64,47,1,15,0.0678488664987406,0.06666666666666667,10.51832133772979,111.47599999999997,2,2,1,7,8,9,da39de456af15df1b7081d7248f6c1291460f1198ac8d2238e829bfa651fdddf
