hazard_model,regime,policy,scenario,replicate,seed,events,generated,delivered,timely_critical,generated_critical,goal_utility_ratio,critical_success_rate,mean_latency,energy,outages,recoveries,reroutes,handovers,final_queued,final_inflight,state_hash
oracle,paired_sparse,throughput,0,0,6055236848070140287,230,75,33,6,22,0.20767533291058984,0.2727272727272727,5.592556692446574,71.52000000000001,3,2,9,4,36,6,8907fbebd21713fede69979c2311906282e19e4e6430702839a4219941ac6e96
oracle,paired_sparse,throughput,0,1,9301045735556599087,251,70,34,6,22,0.21855483028720638,0.2727272727272727,5.427367847389856,71.79999999999998,4,3,21,2,30,6,5d405528a8eed87576a121a1767dfca57960ac6ce630e6002c1219090caabb5b
oracle,paired_sparse,semantic,0,0,6055236848070140287,248,65,40,6,19,0.26113489736070394,0.3157894736842105,6.203757325767069,85.97199999999998,4,3,15,4,19,6,c51a9437d57dd3cf94e33235352d9b981b41fdd5c1f6dfe7a641a6910df7550e
oracle,paired_sparse,semantic,0,1,9301045735556599087,261,61,51,6,18,0.30987412587412605,0.3333333333333333,4.788943331274101,117.02399999999996,3,2,15,1,4,6,391c02cb484ef60de4d4e0a9cd0b526879ca7a9feda4981c90f236bd12dd8e75
cfc,paired_sparse,throughput,0,0,6055236848070140287,261,66,36,3,22,0.15567847593582895,0.13636363636363635,5.171258405943823,91.18799999999999,6,4,27,3,30,0,3428d4c7860d54e35d1fcdce6bbe249709a1d511853ebd22eadccf112c0c74d2
cfc,paired_sparse,throughput,0,1,9301045735556599087,257,73,39,5,22,0.2076747915330341,0.22727272727272727,4.354400316104319,85.97999999999996,4,3,18,1,28,6,4e55c0a92784c031e057a3ba614c59b0ba31562eb232e8fa741023cb9facc64e
cfc,paired_sparse,semantic,0,0,6055236848070140287,249,55,37,3,17,0.1561124161073826,0.17647058823529413,7.424419232693791,82.72,5,5,21,3,9,9,c678214ea860439049c87e53910f4482166e0623f3f5d8fe4aca481a7c01f84c
cfc,paired_sparse,semantic,0,1,9301045735556599087,263,67,40,6,20,0.2780597329585385,0.3,4.952483806442293,91.084,4,4,21,1,18,9,e50bfae9b0382aa6e6d0bc77209dd6d31894f10ab58513db849a91c19e8bf669
gru_dt,paired_sparse,throughput,0,0,6055236848070140287,246,74,41,7,24,0.23158303030303043,0.2916666666666667,7.565894525966041,91.57999999999997,3,2,9,5,27,6,068482daeb2c6a498ba4ebbf3857df039a0c4582820fb52e5307a090238fe62f
gru_dt,paired_sparse,throughput,0,1,9301045735556599087,261,61,46,6,22,0.2852453480358375,0.2727272727272727,4.565413229924264,98.77599999999997,4,4,17,1,6,9,0ebec56ef8039a3477ab9ecf509916706bfc8d9f4af1658d693648f23f4eb763
gru_dt,paired_sparse,semantic,0,0,6055236848070140287,293,70,57,10,25,0.35371057401812706,0.4,5.619150461425038,123.52799999999993,4,4,15,6,4,9,83043467e4a72f0ae42793f560fea4e41f8132c7ff64e4f556be93dfd61a5aa3
gru_dt,paired_sparse,semantic,0,1,9301045735556599087,273,70,54,7,26,0.23554775943396236,0.2692307692307692,5.626792244414317,116.35200000000002,3,2,15,1,13,3,27df8b6f3a892ce537a05cb85e50dd97c4e7226804ebb3d6f05b49accd17f655
gru_param_matched,paired_sparse,throughput,0,0,6055236848070140287,260,62,47,5,23,0.23230446369087288,0.21739130434782608,4.7848217932050385,102.584,4,3,15,5,9,6,2ac4d34f80b6bd0c99dfb3000e2ae26e8e7c617cc54191f14320e79a5f9b3315
gru_param_matched,paired_sparse,throughput,0,1,9301045735556599087,269,72,42,8,23,0.31287680703959797,0.34782608695652173,3.363289472604885,92.93999999999998,5,3,24,1,30,0,afeda318cee75fb9c88127b736c42cd298588f55c655e0b3ac5e6b0b4451b05c
gru_param_matched,paired_sparse,semantic,0,0,6055236848070140287,264,67,38,3,19,0.18770911722141836,0.15789473684210525,5.072856905850673,90.416,5,4,21,8,23,6,353cd65d7090989018f0997d461f3dd1da8038d25d1e69c42f4e9d00aad57832
gru_param_matched,paired_sparse,semantic,0,1,9301045735556599087,225,65,36,5,17,0.23567862714508592,0.29411764705882354,6.090588787481805,81.32399999999997,2,2,9,1,20,9,4435cb68427f5a62198f02906f4ad6c3670031538d8780c8dd88a8d93c644de4
constant,paired_sparse,throughput,0,0,6055236848070140287,278,73,37,3,17,0.1822858197932054,0.17647058823529413,6.82199168981126,100.25200000000002,6,5,27,7,33,3,66f7e561e685c58c4fb8086c49b3d836f3884b12c1e84f512b2774ce8c57942a
constant,paired_sparse,throughput,0,1,9301045735556599087,265,63,57,7,23,0.320125165562914,0.30434782608695654,4.521602790223918,129.54000000000002,3,2,10,1,0,6,83abff4d4dcd649fc6f9604fbbef634315010ef933be1b5119c3ad8e736620f6
constant,paired_sparse,semantic,0,0,6055236848070140287,290,74,42,3,22,0.16061096938775515,0.13636363636363635,5.834706613176844,96.10800000000003,7,6,27,6,29,3,4548beffe403d4cd686160bfbf7afbb083d0c9e7bd9de7546f049f9161780432
constant,paired_sparse,semantic,0,1,9301045735556599087,241,68,40,8,26,0.2765375446960669,0.3076923076923077,4.242680859613975,86.94400000000002,4,2,15,1,28,0,c4d1b830b01fc783772d5605c919c8206dc8874497fc658e6fca539503152b4a
oracle,paired_sparse,throughput,1,0,682881298356813486,206,65,9,1,20,0.0603672597864769,0.05,4.326728234411256,21.995999999999995,4,3,15,6,53,3,7e3825aa9874c22950ab9cdc1998261a2df261e6d103e00bf4333bd9ea88510d
oracle,paired_sparse,throughput,1,1,8686844158653890247,239,65,26,7,23,0.23989986910994773,0.30434782608695654,4.270594241497114,54.116,5,3,15,7,39,0,69525d05ee84d6960d7fbac38fa05ec277e51248605b0d526d4d8d856ba4e879
oracle,paired_sparse,semantic,1,0,682881298356813486,209,62,14,2,21,0.09116701902748418,0.09523809523809523,4.555411012722662,25.051999999999996,4,2,15,6,48,0,88626e6d681039d9b201293ad8426d759ed576be871dad6dc087897a0afff6b1
oracle,paired_sparse,semantic,1,1,8686844158653890247,250,53,33,7,21,0.28897159940209277,0.3333333333333333,5.508682907396354,61.04399999999998,5,4,17,5,14,6,ba07cbde4145d3140dd5abc4a01b87d2acd56aa95424504b03b3069e4c2c6ebf
