hazard_model,regime,policy,scenario,replicate,seed,events,generated,delivered,timely_critical,generated_critical,goal_utility_ratio,critical_success_rate,mean_latency,energy,outages,recoveries,reroutes,handovers,final_queued,final_inflight,state_hash
gru_param_matched,id,throughput,0,0,6055236848070140287,313,61,24,3,14,0.21949065004452376,0.21428571428571427,4.77102372807741,62.303999999999995,5,4,18,5,31,6,a9d7ef1f5f79bdcb166afcd299cbe24a03cc6c3509e99917d2b1ffbc0591d03d
gru_param_matched,id,throughput,0,1,9301045735556599087,353,83,43,8,34,0.20684820177487165,0.23529411764705882,4.9181725375323815,94.11999999999995,3,2,12,1,34,6,0f00a80b4fbf35d0d8d23fa4458d74c1de251349298a7c5558a0300de05cc781
gru_param_matched,id,semantic,0,0,6055236848070140287,341,61,35,3,16,0.19283070539419098,0.1875,5.941554229631502,75.28399999999998,5,4,21,5,20,6,19d9040dff9bcca59e2a50342a51b5798fad331b3be44852eaa402872f07aeaa
gru_param_matched,id,semantic,0,1,9301045735556599087,340,59,50,6,22,0.2678276343335661,0.2727272727272727,5.714388827474588,113.86400000000003,2,2,9,2,0,9,b1f6fd89052fbc082ffc94b729ce86d1119c27f0f9494eb06144538ca19669b3
gru_param_matched,id,throughput,1,0,682881298356813486,323,55,26,3,16,0.20291746307558653,0.1875,4.484875670120328,60.739999999999995,6,4,23,7,29,0,562603b7ae436becaaf6f9916fefdda241b94aad32565543632c0b4d752185c8
gru_param_matched,id,throughput,1,1,8686844158653890247,331,64,25,4,24,0.1628006410256411,0.16666666666666666,6.518492578936401,57.72399999999998,5,5,20,5,30,9,631157c86f83ca0fd6018cf20bfeb43251bdcef129938cbe4da56b91e4a18527
gru_param_matched,id,semantic,1,0,682881298356813486,349,78,28,4,23,0.15699696048632225,0.17391304347826086,5.314779031289894,55.324000000000005,5,4,22,6,47,3,985a829b65942f7a7002ca8cae65ee499ee6261254dd4381e231a6f4a066abb1
gru_param_matched,id,semantic,1,1,8686844158653890247,347,74,30,5,26,0.1590421478060047,0.19230769230769232,5.793316665963484,60.275999999999996,5,4,20,8,41,3,47f1eb1154c66b1681aebcee458110ab94652c7d6af30aebf2da0dabf944053f
gru_param_matched,id,throughput,2,0,1933114542597371799,311,51,29,5,18,0.2499883040935673,0.2777777777777778,5.767974203869818,61.47199999999997,5,4,17,5,16,6,4371fd0ee4126d63d501621f458d903d2297d3adbfd0395672745f704947e460
gru_param_matched,id,throughput,2,1,3576444475163681009,327,62,45,4,19,0.2720643231114436,0.21052631578947367,4.866998256810852,110.44799999999994,2,2,3,8,8,9,f214b04f2398d08b41b9c3d843ec8d60d661a2040364cfed7252eea797909bdb
gru_param_matched,id,semantic,2,0,1933114542597371799,295,57,26,6,20,0.2368904726181546,0.3,6.268546792616731,51.27199999999999,4,3,11,3,25,6,048bc8dd2646d176508d445418f8ee2b01b887aef9c05cf4690d56d7bb6099db
gru_param_matched,id,semantic,2,1,3576444475163681009,326,62,37,8,14,0.46971289752650186,0.5714285714285714,2.1438995381351718,88.65999999999997,4,2,15,6,25,0,d0931084c7d4cadb3be433098eb1634d9e7be42126b049e07c4c9f3d80582817
gru_param_matched,id,throughput,3,0,4075354663187747816,379,66,46,9,20,0.40217256011315433,0.45,2.8777837066225174,101.656,6,5,19,4,14,6,94c0e775ad282169244f839c4afb2acc3368d425921abf1fdb8eef35251d3219
gru_param_matched,id,throughput,3,1,12103483579776137634,350,67,30,2,20,0.13535628952916384,0.1,5.612811249924936,70.10399999999997,5,4,21,4,31,6,17517112490c20dc43d456f112706d9d63065878d58e48ce027ae6822de68e6a
gru_param_matched,id,semantic,3,0,4075354663187747816,353,58,44,10,24,0.398144090305445,0.4166666666666667,2.5266855337005225,94.29200000000003,6,4,15,5,14,0,6a278565cd6eae5feb623a41631c5b4ad02344050e1f4fed372850542846eba5
