hazard_model,regime,policy,scenario,replicate,seed,events,generated,delivered,timely_critical,generated_critical,goal_utility_ratio,critical_success_rate,mean_latency,energy,outages,recoveries,reroutes,handovers,final_queued,final_inflight,state_hash
oracle,id,throughput,0,0,6055236848070140287,337,69,38,5,22,0.20862836506894292,0.22727272727272727,5.593531226819344,86.31199999999998,4,3,13,5,25,6,55c8667a0d5a0056f6ce9f8e75ad67aee5bbf7ae9d3e6db20f50554e6a6df87f
oracle,id,throughput,0,1,9301045735556599087,351,64,45,6,24,0.2568935897435899,0.25,4.531030079440121,103.24799999999999,4,2,21,1,19,0,0ccc597a263bb2157f4aa6091ade80c9e56e92b4f8f294a37f4771a3f26f1f11
oracle,id,semantic,0,0,6055236848070140287,348,88,31,5,31,0.13388996606883183,0.16129032258064516,5.071134852577989,62.28399999999999,4,3,15,7,51,6,71b3bdf6692754b8f357fcc42b0fae4aa3d4fc8a0219757502ee7707d137d89f
oracle,id,semantic,0,1,9301045735556599087,332,72,35,6,26,0.223588681446908,0.23076923076923078,3.774563437016661,77.22800000000001,3,2,15,1,31,6,1560d3151570a211a3a42cadc07c7cb839dda601d309b1800d5445e875b9e2cb
cfc,id,throughput,0,0,6055236848070140287,331,69,23,1,17,0.07094764795144161,0.058823529411764705,5.924551450976756,54.24799999999999,6,4,27,4,46,0,031f8c30496338613ad9a9f9d0c68f86b3316facebd701ed35a87f42684601e8
cfc,id,throughput,0,1,9301045735556599087,326,65,25,5,19,0.21778885630498543,0.2631578947368421,3.8031674065938317,56.42799999999999,5,3,27,1,40,0,49ce8ff0002e1e54e9700bb4aa9c51f6d5e49938a4352cb5c55a015a2d07eb32
cfc,id,semantic,0,0,6055236848070140287,353,71,32,2,20,0.12373954763536675,0.1,5.1670985292436225,73.68799999999999,6,5,24,5,33,6,4820426c527dd433892d9b8f9cb8ae93f1c7b289b056528cac77d659fe3f0641
cfc,id,semantic,0,1,9301045735556599087,368,70,43,5,19,0.24459119943222152,0.2631578947368421,5.046577042755761,101.82399999999998,5,4,24,1,21,6,cb2ac18ee674508ddb630a30fa2ae55c77b800de4b1e1ce4029a3d25c9b03de3
gru_dt,id,throughput,0,0,6055236848070140287,347,74,35,2,24,0.14219212121212124,0.08333333333333333,3.8333787013795937,81.61999999999998,5,3,21,5,39,0,d32365f5ec515ca4335600d4ac5361bfd6b537e9d15f15b76812ad1f4e1c4321
gru_dt,id,throughput,0,1,9301045735556599087,385,61,51,5,21,0.2620872340425533,0.23809523809523808,5.8386041460416,112.52399999999999,5,5,27,1,1,9,a9bb2f5a1bd2a98dbd17295bfa0c7867e871d697bd8ac3d3c0bb5d5614c6f9ea
