hazard_model,regime,policy,scenario,replicate,seed,events,generated,delivered,timely_critical,generated_critical,goal_utility_ratio,critical_success_rate,mean_latency,energy,outages,recoveries,reroutes,handovers,final_queued,final_inflight,state_hash
cfc,id,semantic,0,0,6055236848070140287,353,71,32,2,20,0.1237395476353667,0.1,5.167098529243623,73.68799999999999,6,5,24,5,33,6,4820426c527dd433892d9b8f9cb8ae93f1c7b289b056528cac77d659fe3f0641
cfc,id,semantic,0,1,9301045735556599087,368,70,43,5,19,0.2445911994322215,0.2631578947368421,5.046577042755761,101.82399999999998,5,4,24,1,21,6,cb2ac18ee674508ddb630a30fa2ae55c77b800de4b1e1ce4029a3d25c9b03de3
cfc,id,semantic,1,0,682881298356813486,301,61,19,6,26,0.2103077399380805,0.2307692307692307,2.6493572723876126,36.748,5,3,18,5,42,0,e1570942126c43fbf47c38c5ff0ac3e8b6fde04d2be58c771cde01bda2779432
cfc,id,semantic,1,1,8686844158653890247,324,60,31,5,18,0.2239334898278561,0.2777777777777778,6.218310343528152,63.00399999999997,4,3,15,6,23,6,47ff33d1e970bc35584740d87e4bfec6e903b19ec81b0e70af1cca7f60b238f8
cfc,id,semantic,2,0,1933114542597371799,255,65,9,2,20,0.077179359430605,0.1,2.1784827620391622,16.704,3,1,8,4,56,0,7e8ec6dae7c204f847706228882d0a3cc5121936caa43753d1daa29efb099bb8
cfc,id,semantic,2,1,3576444475163681009,253,60,11,3,19,0.1158923426838514,0.1578947368421052,2.73312942866534,18.668,3,1,5,9,49,0,997532845937b0fc7eda4789e9c74db3dc972eea98a5d9c10efb7f1916fd5cc9
cfc,id,semantic,3,0,4075354663187747816,346,66,14,3,24,0.0971438529784537,0.125,4.121035195420092,22.604,7,7,29,9,43,9,da6c681afc8ae2719bcfe875ce3f20281422961118d2ae28ec40bed5556a5f0f
cfc,id,semantic,3,1,12103483579776137634,316,67,17,2,13,0.1338142605633804,0.1538461538461538,5.2219136634615175,38.492,5,3,20,5,50,0,36700942fd0923dbee0c4bec460cc7f9bb925d3c639ef8c188ff895c9d8b7f77
cfc,id,semantic,4,0,12371909476235374052,292,62,17,2,22,0.0844883561643835,0.0909090909090909,10.46739836431348,30.284,4,3,18,5,39,6,c7643b58c74e4725359feedd313d0e6ebb6d2825ef7e0acb8ce57865292cfdde
cfc,id,semantic,4,1,599081499421017620,306,53,22,2,21,0.0971233183856502,0.0952380952380952,5.634320129879801,40.504,5,5,20,8,22,9,018b77e6b80aff817c3f7ae58760129d44a860c0eb02a938d1a0d74a489dc6f0
cfc,id,semantic,5,0,15500975987367173758,271,61,4,1,19,0.0402560240963855,0.0526315789473684,3.80042944897149,6.664,5,4,18,8,51,6,528dc9aca70a4ddd6a2cb68601b9a213d54bfbb6e5f8e9bc586ded96a7c16075
cfc,id,semantic,5,1,13811391642145551356,365,71,42,0,22,0.0308663205710577,0.0,9.55751310238466,91.86,5,4,22,11,26,3,8815ee36df39215d6eab9b97bf20b3fedda30af817eaa0854626f284a1acb5f8
cfc,id,throughput,0,0,6055236848070140287,331,69,23,1,17,0.0709476479514416,0.0588235294117647,5.924551450976756,54.24799999999999,6,4,27,4,46,0,031f8c30496338613ad9a9f9d0c68f86b3316facebd701ed35a87f42684601e8
cfc,id,throughput,0,1,9301045735556599087,326,65,25,5,19,0.2177888563049854,0.2631578947368421,3.803167406593832,56.42799999999999,5,3,27,1,40,0,49ce8ff0002e1e54e9700bb4aa9c51f6d5e49938a4352cb5c55a015a2d07eb32
cfc,id,throughput,1,0,682881298356813486,293,50,20,6,20,0.2726551181102363,0.3,2.743863074246586,39.908,5,3,18,6,30,0,1f357abd12dc559649c0eb00f3ca02d5bae78443bb4e1d8ce229ae59e191e72f
cfc,id,throughput,1,1,8686844158653890247,308,54,27,5,19,0.2249399209486166,0.2631578947368421,5.949520707544447,51.58799999999998,4,3,14,6,21,6,40f707d2ee55a4628c5124e02efd9f83c97b12e88657b66eb74bfcf79931460a
cfc,id,throughput,2,0,1933114542597371799,252,58,9,2,23,0.0847522184300341,0.0869565217391304,1.5820416641511952,16.704,3,1,8,8,49,0,ceb08f2f7d809272fb243123808bf0a29e8cf42f47bc33e0508fca7caa54f0c7
cfc,id,throughput,2,1,3576444475163681009,260,62,13,3,19,0.1209962602842184,0.1578947368421052,3.4997884037719627,27.399999999999995,3,1,5,10,49,0,abc951ba6dc24a0bf76d53de51a6353cb7d30f1420a3f2c88b5a50e048a075c0
cfc,id,throughput,3,0,4075354663187747816,369,58,26,1,18,0.0934642857142857,0.0555555555555555,7.037898648357981,56.527999999999984,8,7,34,8,26,6,fde15162df67ada8137e47f999bcdfaad2d0996c6a48b54c18b0c9f81c902ea9
cfc,id,throughput,3,1,12103483579776137634,314,74,19,2,20,0.1078990578734859,0.1,4.578674776342456,45.89200000000001,4,2,14,6,55,0,7a3c5456c70a4c32311b717580eed0578d101cd1795b23a741c0c09d21f6eb8e
cfc,id,throughput,4,0,12371909476235374052,312,69,19,1,26,0.0457042086544161,0.0384615384615384,6.442833893087872,38.044,5,4,24,3,47,3,c14d8f80854b9c0388fc5d963a8dc8d3324aa7cfd87ecae4efba6afe9116d3f7
cfc,id,throughput,4,1,599081499421017620,288,48,17,2,16,0.1115321691176471,0.125,7.523784524043853,36.44,6,4,24,6,31,0,5aab9fc2bf4114c27d70c66244fced10cff60b9ed2f166f86c8312262b5989cc
