model,regime,n_traces,intervals,events,nll_per_interval,nll_per_event,rate_mae,rate_rmse,rate_spearman,count_ratio,mark_count_ratios,time_rescaling_ks,time_rescaling_p
cfc,id,4,113,121,1.283311197690633,1.1984641763557151,1.0712378025054932,1.3031986951828003,0.25477421915965504,0.7871248856077572,"{""down"": 18.010670409750368, ""service"": 0.27779904393930743, ""up"": 13.359141099069465}","{""down"": NaN, ""service"": 0.4605497531069668, ""up"": NaN}","{""down"": NaN, ""service"": 1.8833254367806075e-22, ""up"": NaN}"
ltc,id,4,113,121,1.1315305511945215,1.056718613925462,1.0280743837356567,1.2199764251708984,0.5867033684470606,0.8563050261991174,"{""down"": 15.641064493679863, ""service"": 0.3407139297019246, ""up"": 16.233624703804146}","{""down"": NaN, ""service"": 0.40276351075559025, ""up"": NaN}","{""down"": NaN, ""service"": 4.5828273222395793e-17, ""up"": NaN}"
gru_dt,id,4,113,121,1.0874377652526164,1.0155410535003773,1.0173311233520508,1.2039738893508911,0.667103345916972,0.8991918983939879,"{""down"": 18.004578001007875, ""service"": 0.37650813429750474, ""up"": 14.37080599542437}","{""down"": NaN, ""service"": 0.3717885528145004, ""up"": NaN}","{""down"": NaN, ""service"": 1.5846483533282287e-14, ""up"": NaN}"
lstm_dt,id,4,113,121,1.170094685558233,1.0927330534552093,1.0905189514160156,1.2361825704574585,0.7463254716544411,0.9845334319852875,"{""down"": 20.5758768725208, ""service"": 0.370730140073353, ""up"": 17.300682568297944}","{""down"": NaN, ""service"": 0.3792335643950371, ""up"": NaN}","{""down"": NaN, ""service"": 4.084113920569165e-15, ""up"": NaN}"
mlp_dt,id,4,113,121,1.4773196401091244,1.3796456143167857,1.192737340927124,1.3793030977249146,-0.4422176629620577,0.881867956871974,"{""down"": 20.92849215256918, ""service"": 0.24828047122032773, ""up"": 17.900111671796076}","{""down"": NaN, ""service"": 0.4916795366548725, ""up"": NaN}","{""down"": NaN, ""service"": 1.0012668465105701e-25, ""up"": NaN}"
constant,id,4,113,121,0.2924036857686461,0.27307121067650425,0.23708677291870117,0.4949798583984375,0.8287976984256649,1.210743846416989,"{""down"": 0.5000002406304713, ""service"": 1.2350427731105453, ""up"": 0.5000002406304713}","{""down"": NaN, ""service"": 0.10486270453306323, ""up"": NaN}","{""down"": NaN, ""service"": 0.15509836242236386, ""up"": NaN}"
cfc,high_mobility,4,118,132,1.4073049644677174,1.2580453470241715,1.0638277530670166,1.2646596431732178,-0.2171001555692579,0.7414185653248393,"{""down"": 6.73670586297314, ""service"": 0.23536945148912605, ""up"": 4.867113544390802}","{""down"": NaN, ""service"": 0.5479012519054715, ""up"": NaN}","{""down"": NaN, ""service"": 3.3097540242497387e-33, ""up"": NaN}"
ltc,high_mobility,4,118,132,1.106290919555586,0.9889570341481754,0.9414036870002747,1.1230285167694092,0.4435136047880433,0.778937129028041,"{""down"": 4.864022391944149, ""service"": 0.3312800171655796, ""up"": 5.64699410336116}","{""down"": NaN, ""service"": 0.4444868778399319, ""up"": NaN}","{""down"": NaN, ""service"": 2.088751878594244e-21, ""up"": NaN}"
gru_dt,high_mobility,4,118,132,1.2736905863820238,1.1386021908566577,1.055208444595337,1.2103325128555298,0.1606215898077776,0.8584211765107553,"{""down"": 7.362200588111237, ""service"": 0.3026661646245377, ""up"": 5.469742002634628}","{""down"": NaN, ""service"": 0.4619531788204827, ""up"": NaN}","{""down"": NaN, ""service"": 3.5246764642589145e-23, ""up"": NaN}"
lstm_dt,high_mobility,4,118,132,1.1330568548527442,1.012884158125938,1.0000863075256348,1.1376882791519165,0.6167447910025544,0.8910286726330156,"{""down"": 7.331829856149642, ""service"": 0.36111744372386495, ""up"": 5.0484520672994035}","{""down"": NaN, ""service"": 0.41539864399704984, ""up"": NaN}","{""down"": NaN, ""service"": 1.2260320573475514e-18, ""up"": NaN}"
mlp_dt,high_mobility,4,118,132,1.3010074798961886,1.1630218380890172,1.0653098821640015,1.2244243621826172,-0.029508379338359862,0.8352712008083469,"{""down"": 7.012019623921918, ""service"": 0.28590264371225727, ""up"": 5.645893919616569}","{""down"": NaN, ""service"": 0.4830694582154421, ""up"": NaN}","{""down"": NaN, ""service"": 1.9462011255397665e-25, ""up"": NaN}"
constant,high_mobility,4,118,132,0.5144490283653458,0.45988625262962735,0.3224421739578247,0.6069597601890564,0.8240017621638001,1.1098485261406468,"{""down"": 0.16666674691562888, ""service"": 1.2041667040631485, ""up"": 0.16666674691562888}","{""down"": NaN, ""service"": 0.12798109004301517, ""up"": NaN}","{""down"": NaN, ""service"": 0.0407986180640455, ""up"": NaN}"
cfc,high_congestion,4,127,83,1.0965785966341697,1.6778973707534885,0.7611193060874939,0.8204426765441895,-0.05816767735582026,1.1163755504783082,"{""down"": 36.290782695794775, ""service"": 0.35419618214179416, ""up"": 27.67849724041947}","{""down"": NaN, ""service"": 0.4221669987629695, ""up"": NaN}","{""down"": NaN, ""service"": 5.847241396355221e-13, ""up"": NaN}"
ltc,high_congestion,4,127,83,0.9799362596975602,1.4994205419468691,0.7095998525619507,0.7436382174491882,0.17865349529568753,1.237426482760485,"{""down"": 29.91093659457694, ""service"": 0.459182068185928, ""up"": 35.60171395148315}","{""down"": NaN, ""service"": 0.35288048996625476, ""up"": NaN}","{""down"": NaN, ""service"": 4.418201926892988e-09, ""up"": NaN}"
