model,regime,scenario,replicate,policy,seed,events,goal_utility_ratio,critical_success_rate,mean_latency,energy,generated,delivered,outages,recoveries,handovers,reroutes,final_hash,thinning_rejections,thinning_windows,scenario_mobility,scenario_stress,scenario_channel,scenario_demand
oracle,id,0,0,throughput,1.3492057916867258e+19,61,0.5405986013986014,0.3333333333333333,1.521437938229054,42.424,20,17,0,0,4,0,31f8d02a242e83ec180df7436bbde03bea9b5f4d7a647230fe78bd99bfded0f0,109,2,0.9206467734452074,1.2063837022836104,1.0036470800093098,0.9499792732766998
oracle,id,0,0,semantic,1.3492057916867258e+19,61,0.5405986013986014,0.3333333333333333,1.517762157449022,42.424,20,17,0,0,4,0,031dc583c10a819dc6b1dbe3dc5d4ff411cf2967543897625fd0c89051766489,109,2,0.9206467734452074,1.2063837022836104,1.0036470800093098,0.9499792732766998
cfc_closed,id,0,0,throughput,1.3492057916867258e+19,59,0.7464677966101694,0.8,1.1949843469972052,38.152,18,17,0,0,6,0,7e024ec1e62cb18f25efb59faaa774e53ed13d13c23d5eee397aeabb0802e54c,87,4,0.9206467734452074,1.2063837022836104,1.0036470800093098,0.9499792732766998
cfc_closed,id,0,0,semantic,1.3492057916867258e+19,57,0.8650050370370369,1.0,1.2595683519229008,38.93999999999999,18,17,0,0,4,0,98422c768966a886fe4b974634f669fbadedc2ad060893632d14191819e48a26,89,4,0.9206467734452074,1.2063837022836104,1.0036470800093098,0.9499792732766998
cfc_nojump,id,0,0,throughput,1.3492057916867258e+19,59,0.7146953846153846,0.75,1.195367596854139,39.804,18,17,0,0,6,0,4dd6e58a891f470c762ebe72ec43bc728ee6931b8db7c07b37c658727f904e27,87,4,0.9206467734452074,1.2063837022836104,1.0036470800093098,0.9499792732766998
cfc_nojump,id,0,0,semantic,1.3492057916867258e+19,60,0.6306899447513813,0.6,1.190349066013845,39.372,19,17,0,0,6,0,df6f6c6d42fb655bc4debf1eb32b33816b372a4d7d9185bc7878fe7a69811c68,89,4,0.9206467734452074,1.2063837022836104,1.0036470800093098,0.9499792732766998
gru_closed,id,0,0,throughput,1.3492057916867258e+19,56,0.8375087407407407,1.0,1.254223967680447,38.93999999999999,18,17,0,0,3,0,c27902a0655c44f6b69cb99a85ec033ec010ea6bc032472bc422adea8058a5c1,90,4,0.9206467734452074,1.2063837022836104,1.0036470800093098,0.9499792732766998
gru_closed,id,0,0,semantic,1.3492057916867258e+19,60,0.656047524752475,0.6666666666666666,1.1881934076168368,38.152,19,17,0,0,6,0,c1e385ac67dc87c67273f07e42a5f2b39de945eaa42cf6d8698bf61fa02b092a,89,4,0.9206467734452074,1.2063837022836104,1.0036470800093098,0.9499792732766998
oracle,id,0,1,throughput,1.6361355900082276e+19,61,0.6252594871794872,0.75,0.3495192593733284,25.643999999999995,18,12,3,1,7,4,8aff35dd988bd5fb1b39d1b6b96d245ec0c36c79a6ed59358816ae373f3fe7f3,40,4,0.9206467734452074,1.2063837022836104,1.0036470800093098,0.9499792732766998
oracle,id,0,1,semantic,1.6361355900082276e+19,55,0.8557203149606301,1.0,0.3998969646564951,30.443999999999992,16,14,2,2,5,0,483dbb34144e5b9a3dd07dc447257fa279b97e438608aaabb4e84e31ec4cbc21,44,3,0.9206467734452074,1.2063837022836104,1.0036470800093098,0.9499792732766998
