metric,scope,model,delta_abs_effect_error_vs_mechanistic,ci_lo,ci_hi
goal_utility_ratio,id,residual_quarter,-0.03195592428281428,-0.07359771767051404,0.0
goal_utility_ratio,high_mobility,residual_quarter,0.010793887945670622,-0.017070967741935505,0.04945263157894737
goal_utility_ratio,high_stress,residual_quarter,-0.10841572294083512,-0.20298824604518825,-0.033729890172646826
goal_utility_ratio,weak_channel,residual_quarter,0.026668488056842986,0.00036482807017543804,0.0740833809169001
goal_utility_ratio,macro,residual_quarter,-0.025727317805283943,-0.054221151903511865,0.00023727474075015183
goal_utility_ratio,id,residual_idcal,-0.045612528243706915,-0.10540758824724923,-0.00305331376864757
goal_utility_ratio,high_mobility,residual_idcal,0.02998745489188397,-0.01612296804718414,0.10418933333333331
goal_utility_ratio,high_stress,residual_idcal,-0.0757320087086728,-0.17713326449911546,0.018352498527355654
goal_utility_ratio,weak_channel,residual_idcal,0.006837381978498503,0.0,0.01637988800483754
goal_utility_ratio,macro,residual_idcal,-0.02112992502049931,-0.05291371203420277,0.011553156255550744
goal_utility_ratio,id,residual_predictive,-0.039764946210504956,-0.09672129653662788,0.0058031406203369554
goal_utility_ratio,high_mobility,residual_predictive,0.016201944206563734,-0.013058773931898759,0.067533709820028
goal_utility_ratio,high_stress,residual_predictive,-0.055185654837215534,-0.11815790072154486,-0.010566091095376118
goal_utility_ratio,weak_channel,residual_predictive,0.0357268772989075,-0.018668614384066695,0.12006011422331422
goal_utility_ratio,macro,residual_predictive,-0.010755444885562316,-0.038610182941943565,0.018375800113442427
critical_success_rate,id,residual_quarter,-0.023333333333333317,-0.06999999999999995,0.0
critical_success_rate,high_mobility,residual_quarter,0.025,0.0,0.075
critical_success_rate,high_stress,residual_quarter,-0.18333333333333338,-0.29999999999999993,-0.07333333333333339
critical_success_rate,weak_channel,residual_quarter,0.05833333333333335,0.0,0.15833333333333335
critical_success_rate,macro,residual_quarter,-0.03083333333333333,-0.06916666666666665,0.009166666666666665
critical_success_rate,id,residual_idcal,-0.039999999999999994,-0.11999999999999997,0.0
critical_success_rate,high_mobility,residual_idcal,0.06666666666666665,0.0,0.16666666666666666
critical_success_rate,high_stress,residual_idcal,-0.10333333333333336,-0.38499999999999995,0.215
critical_success_rate,weak_channel,residual_idcal,0.03333333333333337,0.0,0.06666666666666676
critical_success_rate,macro,residual_idcal,-0.010833333333333334,-0.08541666666666667,0.075
critical_success_rate,id,residual_predictive,-0.039999999999999994,-0.11999999999999997,0.0
critical_success_rate,high_mobility,residual_predictive,0.04166666666666665,-0.025000000000000043,0.15
critical_success_rate,high_stress,residual_predictive,-0.13619047619047622,-0.2261904761904762,-0.046190476190476226
critical_success_rate,weak_channel,residual_predictive,0.08833333333333337,0.0050000000000000044,0.2166666666666667
critical_success_rate,macro,residual_predictive,-0.011547619047619046,-0.055300595238095225,0.03636904761904761
mean_latency,id,residual_quarter,-0.009072380449928575,-0.02484761005761731,0.0009527642539387315
mean_latency,high_mobility,residual_quarter,-0.05671864663074352,-0.1286295434034593,-0.005378020099568293
mean_latency,high_stress,residual_quarter,-0.007814524626107645,-0.06855460651111331,0.046838829000432416
mean_latency,weak_channel,residual_quarter,0.024103335961062976,0.0037667031249857485,0.0446641812266404
mean_latency,macro,residual_quarter,-0.01237555393642919,-0.03585590164663794,0.008702704838189591
mean_latency,id,residual_idcal,-0.010424089579734175,-0.029403777572133104,0.007361681023359101
mean_latency,high_mobility,residual_idcal,-0.025996144455063618,-0.11448844403981014,0.043676933848119624
mean_latency,high_stress,residual_idcal,-0.021688660962519292,-0.06231284283058203,0.03274001159326363
mean_latency,weak_channel,residual_idcal,-0.004383773052569606,-0.14472520459882005,0.12987376967419767
mean_latency,macro,residual_idcal,-0.015623167012471673,-0.056388907518870296,0.023055822061716198
mean_latency,id,residual_predictive,-0.025073403766003977,-0.052138955831216305,-0.004759256212803464
mean_latency,high_mobility,residual_predictive,-0.008631136391318333,-0.026671273346834102,0.0060386661555301814
mean_latency,high_stress,residual_predictive,-0.12437696682943991,-0.2498754558802568,-0.03659121039386777
mean_latency,weak_channel,residual_predictive,0.026545389425634846,-0.06310252669593608,0.12386722289217311
mean_latency,macro,residual_predictive,-0.032884029390281844,-0.07205883334169841,0.002437602967510835
