regime,trust,nmae,log_rmse
id,0.0,0.04046722543884684,0.48446393609046934
id,0.25,0.03720858854660365,0.3980986654758453
id,0.5,0.03491071932489492,0.3179667204618454
id,0.75,0.03351500244649223,0.24933477640151977
id,1.0,0.032526022191488195,0.2031002938747406
high_mobility,0.0,0.03512608260373497,0.4342385530471802
high_mobility,0.25,0.031205821684080832,0.3401471495628357
high_mobility,0.5,0.02797356833832415,0.2556158363819122
high_mobility,0.75,0.0261340868452958,0.19170974493026732
high_mobility,1.0,0.02571071703559754,0.171468648314476
high_stress,0.0,0.047821923082593386,0.529717481136322
high_stress,0.25,0.04397774498066916,0.4459890484809875
high_stress,0.5,0.04140312875529794,0.36619279980659486
high_stress,0.75,0.04012339441982812,0.29331272542476655
high_stress,1.0,0.040010804089740636,0.2336504191160202
weak_channel,0.0,0.03858585834133105,0.48258607983589175
weak_channel,0.25,0.03400985312063047,0.39180390238761903
weak_channel,0.5,0.029907153251864722,0.304783433675766
weak_channel,0.75,0.02577122756109882,0.22487004101276398
weak_channel,1.0,0.022161243597688125,0.16101347506046296
