regime,scenario,alpha,source,model,effect,oracle_effect,abs_error
high_mobility,5100,0.0,inherit_primary_estimand,mechanistic_calibrated,0.04166666666666674,0.0,0.04166666666666674
high_mobility,5101,0.0,inherit_primary_estimand,mechanistic_calibrated,0.0,0.0,0.0
high_mobility,5102,0.0,inherit_primary_estimand,mechanistic_calibrated,0.0,0.0,0.0
high_mobility,5103,0.0,inherit_primary_estimand,mechanistic_calibrated,0.0,0.0,0.0
high_mobility,5104,0.0,inherit_primary_estimand,mechanistic_calibrated,0.0,-0.16666666666666674,0.16666666666666674
high_stress,5200,0.0,inherit_primary_estimand,mechanistic_calibrated,-0.49999999999999994,0.37499999999999994,0.8749999999999999
high_stress,5201,0.0,inherit_primary_estimand,mechanistic_calibrated,0.050000000000000044,-0.08333333333333326,0.1333333333333333
high_stress,5202,0.0,inherit_primary_estimand,mechanistic_calibrated,0.0,0.0,0.0
high_stress,5203,0.0,inherit_primary_estimand,mechanistic_calibrated,0.16666666666666674,0.0,0.16666666666666674
high_stress,5204,0.0,inherit_primary_estimand,mechanistic_calibrated,-0.375,0.0,0.375
id,5000,0.5,inherit_primary_estimand,residual_idcal,0.0,-0.125,0.125
id,5001,0.5,inherit_primary_estimand,residual_idcal,0.0,0.0,0.0
id,5002,0.5,inherit_primary_estimand,residual_idcal,0.0,0.0,0.0
id,5003,0.5,inherit_primary_estimand,residual_idcal,0.0,0.0,0.0
id,5004,0.5,inherit_primary_estimand,residual_idcal,0.0,-0.25,0.25
weak_channel,5300,0.0,default_mechanistic,mechanistic_calibrated,0.08333333333333326,0.08333333333333326,0.0
weak_channel,5301,0.0,default_mechanistic,mechanistic_calibrated,0.0,0.0,0.0
weak_channel,5302,0.0,default_mechanistic,mechanistic_calibrated,0.0,-0.125,0.125
weak_channel,5303,0.0,default_mechanistic,mechanistic_calibrated,0.0,0.09999999999999998,0.09999999999999998
weak_channel,5304,0.0,default_mechanistic,mechanistic_calibrated,0.0,0.0,0.0
