regime,scenario,alpha,source,model,effect,oracle_effect,abs_error
high_mobility,5100,0.0,calibrated_cell,mechanistic_calibrated,0.015097350454118308,0.0023010752688170655,0.012796275185301242
high_mobility,5101,0.0,calibrated_cell,mechanistic_calibrated,0.0,-0.01699739287612978,0.01699739287612978
high_mobility,5102,0.0,calibrated_cell,mechanistic_calibrated,0.028451612903225842,0.0,0.028451612903225842
high_mobility,5103,0.0,calibrated_cell,mechanistic_calibrated,-0.006493180076628358,0.0,0.006493180076628358
high_mobility,5104,0.0,calibrated_cell,mechanistic_calibrated,0.0,-0.13690932311621962,0.13690932311621962
high_stress,5200,0.0,calibrated_cell,mechanistic_calibrated,-0.2744410505050505,0.25084567049808437,0.5252867210031349
high_stress,5201,0.0,calibrated_cell,mechanistic_calibrated,0.021233961895456788,-0.037371894697812436,0.05860585659326922
high_stress,5202,0.0,calibrated_cell,mechanistic_calibrated,0.0,0.001250305250305228,0.001250305250305228
high_stress,5203,0.0,calibrated_cell,mechanistic_calibrated,0.09551574239947691,0.023460190476190412,0.0720555519232865
high_stress,5204,0.0,calibrated_cell,mechanistic_calibrated,-0.2435100653147373,-0.005006896551724149,0.23850316876301314
id,5000,0.5,calibrated_cell,residual_idcal,0.0086261029623238,-0.04153432471850571,0.05016042768082951
id,5001,0.5,calibrated_cell,residual_idcal,0.018836879432624132,-0.003257117358322237,0.02209399679094637
id,5002,0.5,calibrated_cell,residual_idcal,0.0,0.0,0.0
id,5003,0.5,calibrated_cell,residual_idcal,-0.007096774193548483,-0.009636923076923098,0.0025401488833746155
id,5004,0.5,calibrated_cell,residual_idcal,0.0,-0.18067133776792316,0.18067133776792316
weak_channel,5300,0.0,default_mechanistic,mechanistic_calibrated,0.06589802020202018,0.06589802020202018,0.0
weak_channel,5301,0.0,default_mechanistic,mechanistic_calibrated,0.0,0.013163120567375897,0.013163120567375897
weak_channel,5302,0.0,default_mechanistic,mechanistic_calibrated,0.0,-0.13908689655172413,0.13908689655172413
weak_channel,5303,0.0,default_mechanistic,mechanistic_calibrated,-0.01657987794245852,0.11049773538244134,0.12707761332489986
weak_channel,5304,0.0,default_mechanistic,mechanistic_calibrated,0.0,0.0,0.0
