regime,scenario,alpha,abs_error,oracle_effect
high_mobility,5100,0.0,0.04166666666666674,0.0
high_mobility,5101,0.0,0.0,0.0
high_mobility,5102,0.0,0.0,0.0
high_mobility,5103,1.0,0.25,0.0
high_mobility,5104,0.0,0.16666666666666674,-0.16666666666666674
high_stress,5200,0.25,0.49999999999999994,0.37499999999999994
high_stress,5201,0.25,0.033333333333333215,-0.08333333333333326
high_stress,5202,0.5,0.5,0.0
high_stress,5203,0.25,0.0,0.0
high_stress,5204,0.25,0.09999999999999998,0.0
id,5000,0.5,0.125,-0.125
id,5001,0.5,0.0,0.0
id,5002,0.5,0.0,0.0
id,5003,0.0,0.19999999999999996,0.0
id,5004,0.5,0.25,-0.25
weak_channel,5300,0.0,0.0,0.08333333333333326
weak_channel,5301,0.0,0.0,0.0
weak_channel,5302,0.0,0.125,-0.125
weak_channel,5303,0.0,0.09999999999999998,0.09999999999999998
weak_channel,5304,0.0,0.0,0.0
