regime,scenario,alpha,abs_error,oracle_effect
high_mobility,5100,0.25,0.09521732781688019,0.0023010752688170655
high_mobility,5101,0.0,0.01699739287612978,-0.01699739287612978
high_mobility,5102,0.0,0.028451612903225842,0.0
high_mobility,5103,1.0,0.12328205128205139,0.0
high_mobility,5104,0.0,0.13690932311621962,-0.13690932311621962
high_stress,5200,0.25,0.23412266666666665,0.25084567049808437
high_stress,5201,0.25,0.009643397965786282,-0.037371894697812436
high_stress,5202,0.25,0.001250305250305228,0.001250305250305228
high_stress,5203,0.25,0.0013310183150182509,0.023460190476190412
high_stress,5204,0.25,0.10727560063105701,-0.005006896551724149
id,5000,0.5,0.05016042768082951,-0.04153432471850571
id,5001,0.5,0.02209399679094637,-0.003257117358322237
id,5002,0.5,0.0,0.0
id,5003,0.5,0.0025401488833746155,-0.009636923076923098
id,5004,0.5,0.18067133776792316,-0.18067133776792316
weak_channel,5300,0.0,0.0,0.06589802020202018
weak_channel,5301,0.0,0.013163120567375897,0.013163120567375897
weak_channel,5302,0.0,0.13908689655172413,-0.13908689655172413
weak_channel,5303,1.0,0.32297142713871363,0.11049773538244134
weak_channel,5304,0.0,0.0,0.0
