regime,scenario,alpha,abs_error,oracle_effect
high_mobility,5100,0.25,0.017391033795644883,0.027263385829414455
high_mobility,5101,0.25,3.4537312689930655e-05,-0.0021931227234530115
high_mobility,5102,0.25,0.0,-0.005079046715799396
high_mobility,5103,0.25,0.027442598970781718,-0.01655565664789571
high_mobility,5104,0.25,0.015331338719183851,-0.020633033431815273
high_stress,5200,1.0,0.10065158566611754,0.06904618556936104
high_stress,5201,1.0,0.0605214121830594,0.04730957583148232
high_stress,5202,1.0,0.09196772564948374,0.45669293309324543
high_stress,5203,1.0,0.030565081234046332,0.05688550485679594
high_stress,5204,1.0,0.02328328474074448,-0.02671459419870459
id,5000,1.0,0.0039217022779939326,0.049467720378923996
id,5001,1.0,0.0404421753813885,-0.04157126719244353
id,5002,1.0,0.0018480209764476507,-0.015976855413915803
id,5003,1.0,0.033138666831305175,0.02428564755061291
id,5004,1.0,0.055169092117375196,-0.058210762900555824
weak_channel,5300,0.5,0.21597763641336054,-0.014199332927667174
weak_channel,5301,0.5,0.022398637461333304,-0.025633289109061597
weak_channel,5302,0.0,0.3113702153672645,-0.3132825609841289
weak_channel,5303,0.5,0.15953587702698713,-0.07717297104609311
weak_channel,5304,0.5,0.0025793906216936557,-0.001614797183548955
