regime,scenario,alpha,source,model,effect,oracle_effect,abs_error
high_mobility,90100,1.0,calibrated_cell,residual_predictive,-0.03356051948051941,0.04283870967741932,0.07639922915793873
high_mobility,90101,1.0,calibrated_cell,residual_predictive,0.0,0.0,0.0
high_mobility,90102,1.0,calibrated_cell,residual_predictive,0.0,0.0,0.0
high_mobility,90103,1.0,calibrated_cell,residual_predictive,0.0,0.0,0.0
high_mobility,90104,1.0,calibrated_cell,residual_predictive,-0.07541545003543593,0.059495199537304755,0.13491064957274068
high_stress,90200,0.25,calibrated_cell,residual_quarter,-0.08507220035778168,-0.03800895997733683,0.04706324038044485
high_stress,90201,0.25,calibrated_cell,residual_quarter,0.0,0.0,0.0
high_stress,90202,0.25,calibrated_cell,residual_quarter,-0.0273478787878787,0.17576166422403383,0.20310954301191253
high_stress,90203,0.25,calibrated_cell,residual_quarter,-0.10702154951950138,-0.0015733333333332045,0.10544821618616818
high_stress,90204,0.25,calibrated_cell,residual_quarter,0.0,0.0,0.0
id,90000,0.0,calibrated_cell,mechanistic_calibrated,0.0,0.0,0.0
id,90001,0.0,calibrated_cell,mechanistic_calibrated,0.0,0.12992000000000004,0.12992000000000004
id,90002,0.0,calibrated_cell,mechanistic_calibrated,0.0,0.0,0.0
id,90003,0.0,calibrated_cell,mechanistic_calibrated,0.08048484848484838,0.07747878787878781,0.0030060606060605677
id,90004,0.0,calibrated_cell,mechanistic_calibrated,0.0,0.0,0.0
weak_channel,90300,0.0,default_mechanistic,mechanistic_calibrated,0.0,-0.17444036036036048,0.17444036036036048
weak_channel,90301,0.0,default_mechanistic,mechanistic_calibrated,-0.01871924468922126,-0.03474803836094176,0.016028793671720498
weak_channel,90302,0.0,default_mechanistic,mechanistic_calibrated,0.021419354838709825,0.020121212121211984,0.001298142717497841
weak_channel,90303,0.0,default_mechanistic,mechanistic_calibrated,0.0,0.21684636734693885,0.21684636734693885
weak_channel,90304,0.0,default_mechanistic,mechanistic_calibrated,-0.03384331034482768,0.1570041076165214,0.19084741796134908
