policy,replicate,seed,events,final_time,state_hash,generated,generated_critical,generated_background,delivered,delivered_critical,delivered_background,timely,timely_critical,timely_background,generated_utility,delivered_utility,timely_semantic_utility,energy,bytes_delivered,reroutes,handovers,mean_latency,max_queued,max_inflight,final_queued,final_inflight,critical_success_rate,background_success_rate,timely_task_rate,goal_utility_ratio,semantic_efficiency
semantic,100,10485945941293656736,434,60.0,5987a7ddf03df37ade318fe6376672324ce26184741825a036d56c5831deaece,141,37,104,141,37,104,141,37,104,55.71999999999998,48.66939200000003,48.66939200000003,370.60000000000025,349.0,0,10,0.5025302151536468,2,7,0,0,1.0,1.0,1.0,0.8734636037329514,0.13132593631948192
semantic,101,11172272431343894559,383,60.0,3125dd61e00d99cd4e1c66db851ca624d6ff66b739ec9881dbf46ba4923c7ee6,124,41,83,124,41,83,122,39,83,55.939999999999976,49.70225600000003,47.82125600000003,306.92000000000013,290.0,0,10,0.6687044534790708,2,8,0,0,0.9512195121951219,1.0,0.9838709677419355,0.8548669288523426,0.15581016551544377
semantic,102,6620260639779504785,373,60.0,c763d28ffb1a2f53243f47f225aa49a39026968519959737c4fc770da82c6792,121,44,77,121,44,77,121,44,77,57.85999999999998,50.903316000000025,50.903316000000025,292.1000000000001,275.0,0,9,0.5240460765964661,2,4,0,0,1.0,1.0,1.0,0.8797669547182863,0.1742667442656625
semantic,103,15833979466089576776,391,60.0,cfcc513771b29d1ea233ead23521c2b67106794d4763c92dcf290cd5cb880eea,127,33,94,127,33,94,126,33,93,49.91999999999997,43.624912000000016,43.45931200000002,333.00000000000017,315.0,0,9,0.8267912120336075,2,9,0,0,1.0,0.9893617021276596,0.9921259842519685,0.8705791666666675,0.13050844444444443
semantic,104,11348934341014745054,421,60.0,923ed4679c31798531a34c7da9c7b39fa5e41e71c02e55e5c80ad902148854f5,137,45,92,137,45,92,135,43,92,61.559999999999974,54.6863,52.904300000000006,341.8800000000002,321.0,0,9,0.5614772919559073,2,9,0,0,0.9555555555555556,1.0,0.9854014598540146,0.8593940870695261,0.15474523224523215
semantic,105,11913680767715589518,416,60.0,10f453c417eb1daa0e9a6afae76fba110a5d220b0f63b1a3e668ba8cebbe91c6,134,40,94,134,40,94,134,40,94,56.91999999999997,51.267268,51.267268,344.3200000000002,322.0,0,13,0.454409870214178,1,5,0,0,1.0,1.0,1.0,0.9006898805340834,0.14889424953531588
semantic,106,13971729779186582232,407,60.0,da86c0fe01b88f9268118957b031837eb8724578362cf9028883d8bfd38c29cb,131,38,93,131,38,93,129,36,93,54.739999999999974,48.121291999999976,46.339291999999986,335.1800000000001,317.0,0,13,0.670016100242696,2,6,0,0,0.9473684210526315,1.0,0.9847328244274809,0.8465343807088054,0.13825196014081978
semantic,107,786447123726861330,450,60.0,fb004dac8f0d829dac2127ef60f0ce804c94a98e802fcf7372b54b4af8cad713,148,42,106,148,42,106,148,42,106,61.07999999999998,54.62148799999999,54.62148799999999,384.48000000000036,360.0,0,5,0.6159399166923272,2,7,0,0,1.0,1.0,1.0,0.8942614276358876,0.14206587598834775
semantic,108,18027964989542602268,416,60.0,584cfa345221bba2f4105513e38c7eccb76ed879dac81d21b3b978aa64febad4,136,38,98,136,38,98,135,38,97,55.63999999999998,48.558151999999986,48.39777199999998,354.1400000000003,332.0,0,7,0.8702208689132747,2,9,0,0,1.0,0.9897959183673469,0.9926470588235294,0.8698377426312006,0.13666282261252594
semantic,109,9720423473309896450,443,60.0,a98264455bab84bbc3a31add29f57b591912d4206da0cfe00047fca3e71c58af,143,35,108,143,35,108,143,35,108,54.43999999999997,48.21230400000005,48.21230400000005,382.7600000000003,359.0,0,13,0.6181070958320588,2,7,0,0,1.0,1.0,1.0,0.8856044085231463,0.12595961960497445
