policy,replicate,seed,events,final_time,state_hash,generated,generated_critical,generated_background,delivered,delivered_critical,delivered_background,timely,timely_critical,timely_background,generated_utility,delivered_utility,timely_semantic_utility,energy,bytes_delivered,reroutes,handovers,mean_latency,max_queued,max_inflight,final_queued,final_inflight,critical_success_rate,background_success_rate,timely_task_rate,goal_utility_ratio,semantic_efficiency
semantic,110,10038764614235670114,470,60.0,d0808493d188cef3172e5a0b9eefac79e5b710c280c1d770734f8e9d45d48e6f,153,47,106,153,47,106,152,47,105,66.07999999999998,57.479948,57.301748,388.94000000000034,365.0,0,10,0.6938476531750635,2,9,0,0,1.0,0.9905660377358491,0.9934640522875817,0.8671572033898308,0.14732798889288826
semantic,111,17106565258419896851,411,60.0,2eb262d827419ddbd67d1c4fe02b6489cc6df383eb037aa14b3cb2a0cc0a697e,133,54,79,133,54,79,133,54,79,68.22,60.818908,60.818908,308.6400000000001,291.0,0,11,0.4049365494266753,1,6,0,0,1.0,1.0,1.0,0.8915114042802698,0.19705452306894758
semantic,112,11859996410528926891,454,60.0,152c75405567757fcbbb12b8395b7bf45bbbbe7321e01defe3008f18118e9a0e,148,54,94,148,54,94,147,53,94,70.92000000000002,63.071672000000035,62.08167200000003,361.0200000000003,336.0,0,9,0.6642381138037934,2,8,0,0,0.9814814814814815,1.0,0.9932432432432432,0.8753760857304007,0.17196186360866428
semantic,113,5990264595699184601,435,60.0,ebff90a76230361f10fd1f66c90c7452737af686694c67c7c3bfa8a1d74e1ead,143,47,96,143,47,96,143,47,96,64.27999999999997,57.87425599999999,57.87425599999999,354.4400000000003,335.0,0,5,0.5984448022022931,1,7,0,0,1.0,1.0,1.0,0.9003462352209087,0.16328364744385493
semantic,114,4766136107088096630,477,60.0,8276608520718647fa6b3f45dbbf2bc06e0da250f6a4e59662570d1b035a1671,154,51,103,154,51,103,153,50,103,69.54000000000003,61.27899599999999,60.28899599999999,376.56000000000023,360.0,0,14,0.6814934631112626,2,7,0,0,0.9803921568627451,1.0,0.9935064935064936,0.866968593615185,0.1601046207775652
semantic,115,4619348857109731471,424,60.0,a1b286e9302a8b6e06f333fd4c1e3b8ccb6eb9bbc7995aa2bf0de895795b7990,138,40,98,138,40,98,138,40,98,57.63999999999998,50.56105600000002,50.56105600000002,356.86000000000024,334.0,0,9,0.5823916633421115,1,6,0,0,1.0,1.0,1.0,0.8771869535045115,0.14168316987053745
semantic,116,14276217874294507249,469,60.0,8d6d493594e7e18ab424023d91ba91a38b14626066b3345db5cdd34ab0a87f04,152,42,110,152,42,110,152,42,110,61.799999999999976,55.281768000000035,55.281768000000035,397.3800000000003,372.0,0,12,0.6035225407580246,2,9,0,0,1.0,1.0,1.0,0.894526990291263,0.13911562735920277
semantic,117,4810154289881964530,451,60.0,f45864358c7e00fa69b5fd3715b7ff043d033cb799b55cfa5b5a3d89a48695e4,145,50,95,145,50,95,145,50,95,67.10000000000001,59.94562000000004,59.94562000000004,356.42000000000036,335.0,0,15,0.5853680577555147,1,8,0,0,1.0,1.0,1.0,0.8933773472429215,0.16818814881319785
semantic,118,4264703248437115384,393,60.0,146fc679b09e49ac62487e6b0ecef222c8d61f7c0b6eacf027332034115efa27,127,43,84,127,43,84,127,43,84,58.119999999999976,51.26698000000001,51.26698000000001,315.70000000000016,295.0,0,11,0.7343590029474316,1,7,0,0,1.0,1.0,1.0,0.8820884377150728,0.1623914475768134
semantic,119,15974339024254083125,442,60.0,2013eda9e1341d8ead3d0d4c230c0d33398b387a428459a8169784fef2cdd33a,143,37,106,143,37,106,143,37,106,56.07999999999997,48.88448800000001,48.88448800000001,379.6600000000003,355.0,0,12,0.49706204419623595,2,6,0,0,1.0,1.0,1.0,0.8716920114122688,0.12875859453194957
