policy,replicate,seed,events,final_time,state_hash,generated,generated_critical,generated_background,delivered,delivered_critical,delivered_background,timely,timely_critical,timely_background,generated_utility,delivered_utility,timely_semantic_utility,energy,bytes_delivered,reroutes,handovers,mean_latency,max_queued,max_inflight,final_queued,final_inflight,critical_success_rate,background_success_rate,timely_task_rate,goal_utility_ratio,semantic_efficiency
throughput,100,10485945941293656736,409,60.0,01891d37a0b9b550c20dbb689c3f5a533d5ac041af9cb4743babf7575154544a,132,37,95,132,37,95,132,37,95,54.09999999999998,47.114247999999996,47.114247999999996,339.2800000000001,322.0,0,12,0.47867628891550634,2,6,0,0,1.0,1.0,1.0,0.8708733456561925,0.13886538552228245
throughput,101,11172272431343894559,416,60.0,df533ee2754b987dbdff48a3ee4192eb9e84c93fb05606b07cc692b85a54e32e,134,46,88,134,46,88,134,46,88,61.83999999999998,55.73085200000003,55.73085200000003,330.1600000000002,310.0,0,13,0.643800432192514,2,9,0,0,1.0,1.0,1.0,0.9012104139715401,0.1687995275018173
throughput,102,6620260639779504785,337,60.0,4e48c7c81828f996275b6b1a98be39735a6ffad13b120a515ae649fd32cf328c,109,34,75,109,34,75,109,34,75,47.49999999999998,41.460635999999994,41.460635999999994,272.86000000000007,259.0,0,9,0.42734951442229885,3,4,0,0,1.0,1.0,1.0,0.8728554947368423,0.15194838378655715
throughput,103,15833979466089576776,418,60.0,4dc386ab2f65007ce8c12a9987306d8c17b620f2e248e986975a11abefbd28a7,134,39,95,134,39,95,134,39,95,56.09999999999997,48.782864,48.782864,343.26000000000016,324.0,0,15,0.7323703499517841,2,9,0,0,1.0,1.0,1.0,0.8695697682709451,0.14211636660257523
throughput,104,11348934341014745054,419,60.0,1a22a29db0c96d1fef965e8afaeadbbcf36403632603d0f14349455c7ab9e794,136,43,93,136,43,93,136,43,93,59.739999999999974,52.63958400000007,52.63958400000007,344.8600000000002,322.0,0,10,0.6157224787559307,2,6,0,0,1.0,1.0,1.0,0.8811446936725827,0.1526404453981327
throughput,105,11913680767715589518,426,60.0,6e2d46d5cdd5fad220e4fe2035b31f972b5da66d53d02066b8dd4d7e05214175,138,43,95,138,43,95,138,43,95,60.09999999999997,54.377168000000054,54.377168000000054,349.9600000000002,328.0,0,11,0.5333101868387894,2,7,0,0,1.0,1.0,1.0,0.9047781697171394,0.15538109498228375
throughput,106,13971729779186582232,461,60.0,8c02cf07bbf34a171d4804ee171c52a283cf5b688faadd616259d88ee76740cc,150,44,106,150,44,106,150,44,106,63.07999999999998,56.087176,56.087176,384.68000000000035,362.0,0,10,0.702902187586046,2,9,0,0,1.0,1.0,1.0,0.8891435637285989,0.14580216283664332
throughput,107,786447123726861330,390,60.0,6dcfc355a10e3fb59f630a4a072e4639e063fcf7c825b52b43c3a0af0015f077,127,40,87,127,40,87,125,38,87,55.65999999999998,49.93644800000002,48.05544800000002,320.8000000000002,301.0,0,8,0.642706764837964,2,6,0,0,0.95,1.0,0.984251968503937,0.8633749191519948,0.14979877805486283
throughput,108,18027964989542602268,386,60.0,c8a0e523f0ca0f29cf21a8c08ff89d3e6f5ee4908f2476e453092eded77814eb,125,33,92,125,33,92,123,32,91,49.559999999999974,43.906832000000065,42.97365200000006,327.72000000000014,309.0,0,10,0.8099926098776189,2,9,0,0,0.9696969696969697,0.9891304347826086,0.984,0.8671035512510105,0.1311291712437448
throughput,109,9720423473309896450,415,60.0,20a3a80b81f6e32efd0939cbe9122f2372bd8130cb6ef4850b7ed947f1c0f267,135,34,101,135,34,101,135,34,101,52.17999999999998,46.09839200000003,46.09839200000003,360.0400000000003,337.0,0,9,0.5525952224053732,2,5,0,0,1.0,1.0,1.0,0.8834494442315073,0.12803686257082544
