policy,replicate,seed,events,final_time,state_hash,generated,generated_critical,generated_background,delivered,delivered_critical,delivered_background,timely,timely_critical,timely_background,generated_utility,delivered_utility,timely_semantic_utility,energy,bytes_delivered,reroutes,handovers,mean_latency,max_queued,max_inflight,final_queued,final_inflight,critical_success_rate,background_success_rate,timely_task_rate,goal_utility_ratio,semantic_efficiency
throughput,110,10038764614235670114,437,60.0,f8b3435b6014745e9ced5d20a087c61f70042fbae1ea2c04a9498f77b36a65dd,142,53,89,142,53,89,141,53,88,69.02000000000004,58.395356000000014,58.23497600000001,339.98000000000013,320.0,0,10,0.6312204927448314,2,7,0,0,1.0,0.9887640449438202,0.9929577464788732,0.8437405969284262,0.17128941702453082
throughput,111,17106565258419896851,464,60.0,4181542b81d5bf72c83363fc7153e74d562f1eca6358eba15715511be68440f4,151,46,105,151,46,105,151,46,105,64.9,58.15944399999999,58.15944399999999,385.30000000000024,361.0,0,10,0.7818857863190493,3,9,0,0,1.0,1.0,1.0,0.8961393528505391,0.15094587075006477
throughput,112,11859996410528926891,447,60.0,b051644e57a37e36515bcea1778c01fc2de8e381f3dc66c61c85ec9788fbeb10,143,52,91,143,52,91,143,52,91,68.38000000000005,60.931576000000035,60.931576000000035,343.72000000000014,325.0,0,17,0.5387569017253974,2,6,0,0,1.0,1.0,1.0,0.8910730622989177,0.17727096473874088
throughput,113,5990264595699184601,468,60.0,f5e401e2d10fbd598f6b7bf4a02266888a49fdeb7344c83a64ad7e15ba6f4a48,151,44,107,151,44,107,151,44,107,63.25999999999997,55.87020000000003,55.87020000000003,385.8800000000003,365.0,0,14,0.5891440662774785,2,7,0,0,1.0,1.0,1.0,0.8831836863736968,0.14478646211257384
throughput,114,4766136107088096630,424,60.0,319d419c7ffed0b9032f30521cdb26c0bf002d7a0086f534fc4d5077302aa952,137,43,94,137,43,94,135,41,94,59.91999999999998,52.68846000000003,50.80746000000003,345.1600000000002,325.0,0,12,0.5250771911856608,2,7,0,0,0.9534883720930233,1.0,0.9854014598540146,0.8479215620827778,0.1471997334569475
throughput,115,4619348857109731471,402,60.0,b554aba598cd65d74c7a9f11b506c1951b4cb53c99b0add0379d32fd49097787,130,36,94,130,36,94,129,35,94,52.91999999999998,46.65796400000001,45.76696400000001,340.50000000000017,318.0,0,11,0.5928577488008736,2,6,0,0,0.9722222222222222,1.0,0.9923076923076923,0.8648330309901743,0.13441105433186487
throughput,116,14276217874294507249,489,60.0,d6bdeccbbd5d36727e499ef62506d8d1115c4b23b504ac2d0fc475ed60ff6677,157,45,112,157,45,112,157,45,112,65.15999999999998,57.50144800000003,57.50144800000003,405.8400000000003,381.0,0,17,0.5778830669776611,2,8,0,0,1.0,1.0,1.0,0.8824654389195833,0.14168501872659173
throughput,117,4810154289881964530,462,60.0,d327b421cc64143af729b31a097ffb0d5edcb141e2f48e38f1d05f09d18f3147,150,54,96,150,54,96,150,54,96,71.28000000000002,63.618024,63.618024,365.0400000000003,342.0,0,11,0.5679222282102239,3,8,0,0,1.0,1.0,1.0,0.892508754208754,0.17427685733070333
throughput,118,4264703248437115384,440,60.0,b0d3918ed60ffcb2e08261ec9369ee1efbab7f2e37cffbc46287437f00f84b1f,143,37,106,143,37,106,143,37,106,56.07999999999997,49.04454800000009,49.04454800000009,380.3800000000003,355.0,0,10,0.6933646410161937,2,8,0,0,1.0,1.0,1.0,0.8745461483594885,0.12893566433566447
throughput,119,15974339024254083125,438,60.0,691117088064bbbe55ff1a7c53d75c8c557aad7b9e5656cd3c1560d8d5cacefa,141,31,110,141,31,110,141,31,110,50.79999999999997,45.04060800000005,45.04060800000005,386.2000000000003,361.0,0,14,0.586106586030782,2,6,0,0,1.0,1.0,1.0,0.8866261417322849,0.11662508544795447
