policy,replicate,seed,events,final_time,state_hash,generated,generated_critical,generated_background,delivered,delivered_critical,delivered_background,timely,timely_critical,timely_background,generated_utility,delivered_utility,timely_semantic_utility,energy,bytes_delivered,reroutes,handovers,mean_latency,max_queued,max_inflight,final_queued,final_inflight,critical_success_rate,background_success_rate,timely_task_rate,goal_utility_ratio,semantic_efficiency
semantic,200,13678993302505428098,403,60.0,62732282fa3dd068aad096cc40302cb286d70f67f7b522936718b4fc600a3a0c,129,51,78,129,51,78,125,47,78,65.03999999999999,59.8226,56.2778,320.2800000000002,285.0,0,13,1.0117119426615286,8,9,0,0,0.9215686274509803,1.0,0.9689922480620154,0.8652798277982781,0.1757143749219432
semantic,201,10363170266343515415,457,60.0,63acff677cfc44b81ae824696fcf830ce008f4b7ff4eb01d2ddcd8fb562b5d37,147,41,106,147,41,106,130,35,95,60.07999999999998,54.50817200000002,46.852987999999996,401.12000000000046,359.0,0,13,1.8444188377673842,11,9,0,0,0.8536585365853658,0.8962264150943396,0.8843537414965986,0.7798433422103864,0.11680541483845219
semantic,202,15775354713174908988,436,60.0,0c8d3bd31a40fbe5973f6703afd58cc8ae3f36ea2c3c8e48312be8a131ccd71b,141,38,103,141,38,103,124,29,95,56.53999999999997,51.06101200000002,41.385244,383.9000000000002,347.0,0,10,1.9439558143997686,15,9,0,0,0.7631578947368421,0.9223300970873787,0.8794326241134752,0.7319639900955079,0.1078021463922896
semantic,203,4687532256982757497,418,60.0,98bda8822bfb53952e66296be83db7331d2e3fee7028678625f80888848d0abd,134,40,94,134,40,94,105,26,79,56.91999999999997,51.922839999999994,36.688028,359.62000000000035,322.0,2,9,2.935685891579152,19,9,0,0,0.65,0.8404255319148937,0.7835820895522388,0.6445542515811669,0.1020188754796729
semantic,204,17304049949935253061,419,60.0,1cd4588497ef4b31f377bb5bb4495634d74e7964d89bf1b5efaa6510e823ebe4,136,48,88,136,48,88,122,39,83,63.839999999999975,59.29534000000002,49.66462000000001,350.1600000000003,312.0,1,6,1.5290695067049545,11,7,0,0,0.8125,0.9431818181818182,0.8970588235294118,0.7779545739348376,0.14183407585103944
semantic,205,12672821352079765344,419,60.0,117dcd8dbc02235051d1eba6c1e94bb44230ee37a202a2de819ac7e4b51a9139,133,47,86,133,47,86,121,40,81,62.479999999999976,57.356763999999956,49.98522399999996,347.1200000000004,305.0,2,13,1.3068949554510474,8,8,0,0,0.851063829787234,0.9418604651162791,0.9097744360902256,0.8000195902688857,0.1439998386725049
semantic,206,18176289978631591419,488,60.0,89c49190335ce87a66fb8594cba86f45c43e9f88254c02e2e06483e5b68f1b5c,155,46,109,155,46,109,113,28,85,65.62,60.23599599999996,39.49773999999999,416.5600000000005,373.0,3,14,2.8722775655235266,20,9,0,0,0.6086956521739131,0.7798165137614679,0.7290322580645161,0.6019161840902163,0.09481884962550399
semantic,207,16548586785211827774,441,60.0,5642f2ecc1cad1b3bcb5c53fddf96b2795f6615995cf9afe6852c8d6976f87ec,140,40,100,140,40,100,87,17,70,57.99999999999997,52.482676,26.499636000000027,377.2600000000003,340.0,3,12,4.470903815412058,26,9,0,0,0.425,0.7,0.6214285714285714,0.45689027586206965,0.07024236865821981
semantic,208,6021858145821552763,419,60.0,54f8251a59e9581a90f908999afe6c8c90d8a21a7fe6063d4f3bd29443538483,135,40,95,135,40,95,117,30,87,57.09999999999998,51.64658399999999,41.26828400000002,357.94000000000017,325.0,0,11,1.6723550312537958,13,9,0,0,0.75,0.9157894736842105,0.8666666666666667,0.722737022767076,0.11529385930602895
semantic,209,6205397975692845598,456,60.0,ecbf7e4ea28b12b082c85ca74808005f01c187568f3c92b9c2698592de17f25f,147,39,108,147,39,108,139,32,107,58.439999999999976,52.99111599999997,46.75171599999998,400.8000000000003,363.0,1,10,1.2805698935368344,14,9,0,0,0.8205128205128205,0.9907407407407407,0.9455782312925171,0.7999951403148529,0.11664599800399188
