policy,replicate,seed,events,final_time,state_hash,generated,generated_critical,generated_background,delivered,delivered_critical,delivered_background,timely,timely_critical,timely_background,generated_utility,delivered_utility,timely_semantic_utility,energy,bytes_delivered,reroutes,handovers,mean_latency,max_queued,max_inflight,final_queued,final_inflight,critical_success_rate,background_success_rate,timely_task_rate,goal_utility_ratio,semantic_efficiency
throughput,200,13678993302505428098,397,60.0,cee2a8a5ffa5e522ab84c20f253b795c92d2f777f241efcbcaaf5bf89e8bed4c,127,46,81,127,46,81,112,35,77,60.57999999999998,55.82350799999999,44.51770800000001,325.72000000000025,289.0,0,13,1.7237372031775178,10,9,0,0,0.7608695652173914,0.9506172839506173,0.8818897637795275,0.7348581710135363,0.13667477588112484
throughput,201,10363170266343515415,459,60.0,7b9b15cf56f59ff5b34aecca9bb0c03988cdc9316629c58530a320162f04e8cd,146,49,97,146,49,97,133,41,92,66.46,59.75006799999996,51.17270799999996,382.4800000000004,340.0,1,16,1.4174131178578648,11,4,0,0,0.8367346938775511,0.9484536082474226,0.910958904109589,0.7699775504062588,0.13379185316879288
throughput,202,15775354713174908988,355,60.0,656c6359d2c614ddcee08b9f385604c40cdb8f32d5bdbd586265582e14aac824,115,37,78,115,37,78,110,33,77,51.03999999999998,45.913687999999986,42.091687999999984,303.9400000000001,271.0,0,7,0.8570208812954176,4,9,0,0,0.8918918918918919,0.9871794871794872,0.9565217391304348,0.824680407523511,0.13848683292755137
throughput,203,4687532256982757497,446,60.0,c517a8c368bb3791345550bfeb293baf0c8dd99e39d33c9f9812bebe864b7375,143,47,96,143,47,96,122,30,92,64.27999999999997,58.47146800000004,42.14914800000002,374.6000000000004,335.0,2,10,1.8727185071988282,13,9,0,0,0.6382978723404256,0.9583333333333334,0.8531468531468531,0.6557116988176732,0.11251774693005866
throughput,204,17304049949935253061,447,60.0,95c24933b5a28c71d395bf8c478edfb18d59c38766c6ad625a618fb093c25199,143,35,108,143,35,108,118,25,93,54.439999999999976,48.59307600000003,37.47348400000003,400.04000000000025,359.0,2,11,2.517502521527075,23,9,0,0,0.7142857142857143,0.8611111111111112,0.8251748251748252,0.6883446730345343,0.09367434256574343
throughput,205,12672821352079765344,414,60.0,1fc05e115d905d69d0dfe8f98f74933c030429fc35f28f632cf8565ac32ea64c,131,39,92,131,39,92,103,25,78,55.559999999999974,51.296572000000026,35.75916800000001,351.5400000000002,315.0,1,16,2.533571819472196,16,9,0,0,0.6410256410256411,0.8478260869565217,0.7862595419847328,0.6436135349172071,0.10172147693007905
throughput,206,18176289978631591419,424,60.0,2764ad7422b879d9c3d0d13a5b3485e3944d9db3bb5468934be420d406acfd43,136,38,98,136,38,98,109,26,83,55.63999999999998,50.63733599999997,36.946007999999985,371.7800000000003,332.0,0,13,2.6293304730154397,17,9,0,0,0.6842105263157895,0.8469387755102041,0.8014705882352942,0.6640188353702372,0.09937599655710354
throughput,207,16548586785211827774,390,60.0,5cc2cfe133bbc366a4f2dbffb341f9287a376f99cf10cbda68223a0c6af62611,124,41,83,124,41,83,109,28,81,55.939999999999976,51.143016,38.78265600000001,324.20000000000016,290.0,0,15,1.5548333779283738,7,9,0,0,0.6829268292682927,0.9759036144578314,0.8790322580645161,0.6932902395423673,0.11962571252313384
throughput,208,6021858145821552763,446,60.0,69d1241036c1713e07fa59719275d507a3fb74244417d2953bf338f3b7b0babf,144,48,96,144,48,96,123,30,93,65.27999999999999,59.042096000000036,42.383916000000006,376.8600000000004,336.0,2,7,1.6670650989418592,12,9,0,0,0.625,0.96875,0.8541666666666666,0.6492634191176473,0.11246594491323027
throughput,209,6205397975692845598,496,60.0,39b8e31c693448d5b39dbd106bad57fa908a83940c70626f3bfbf82184e2c330,159,44,115,159,44,115,144,31,113,64.69999999999999,58.96278400000003,46.71342400000003,438.5000000000006,389.0,3,10,1.395918176214852,12,9,0,0,0.7045454545454546,0.9826086956521739,0.9056603773584906,0.7220003709428136,0.10653004332953242
