policy,replicate,seed,events,final_time,state_hash,generated,generated_critical,generated_background,delivered,delivered_critical,delivered_background,timely,timely_critical,timely_background,generated_utility,delivered_utility,timely_semantic_utility,energy,bytes_delivered,reroutes,handovers,mean_latency,max_queued,max_inflight,final_queued,final_inflight,critical_success_rate,background_success_rate,timely_task_rate,goal_utility_ratio,semantic_efficiency
qos,0,17296613955212415330,420,60.0,a9ccb301baba32e7202eb50069f5e496cfa097b24004c9054f94fa6644ec85a5,135,52,83,135,52,83,130,48,82,66.94000000000005,59.99994000000002,56.275560000000006,331.60000000000014,301.0,3,6,0.958997159659344,8,5,0,0,0.9230769230769232,0.9879518072289156,0.9629629629629628,0.8406865850014933,0.1697091676718937
qos,1,17815891478444219897,467,60.0,fa1e7c59a04b6abeca49611798d3e9ccdf8b7d531e814e459896439be44c818b,150,53,97,150,53,97,132,46,86,70.46000000000004,62.71920000000002,54.63236799999999,372.8000000000002,344.0,1,12,1.845144322352547,13,9,0,0,0.8679245283018868,0.8865979381443299,0.88,0.7753671302866869,0.1465460515021458
qos,2,16405280660730995745,421,60.0,d6325f9d754322f6d39c08dae709b9644d34c22a7a68dfb4fd7246a2ada9488e,135,43,92,135,43,92,133,41,92,59.55999999999997,54.03189199999999,52.22089199999999,350.5000000000002,319.0,0,13,0.904205183529672,4,8,0,0,0.9534883720930232,1.0,0.9851851851851852,0.8767779046339828,0.148989706134094
qos,3,1231977543173232774,425,60.0,1bfa817e2fc2f0327595f692c78489bbef0771dcb58fead98c35ef1794331283,137,46,91,137,46,91,116,34,82,62.37999999999997,55.15413999999999,42.89606800000002,347.26000000000016,319.0,1,9,2.113848580961569,17,9,0,0,0.7391304347826086,0.9010989010989012,0.8467153284671532,0.6876573901891638,0.1235272360767148
qos,4,11986166472657500349,380,60.0,848bddee9956dbad87b68008dec0abc979b1481dff939eb1bf048e5f0152de7f,122,46,76,122,46,76,100,33,67,59.67999999999998,53.045704,39.81918400000001,298.8400000000002,274.0,1,9,2.0023812430428327,19,9,0,0,0.717391304347826,0.881578947368421,0.819672131147541,0.6672115281501344,0.133245830544773
qos,5,10581747269026518101,405,60.0,209b9dbddde49350e0e13538380d4e9ef94fb767639bdf59e1b4ee45248f3561,132,40,92,132,40,92,114,32,82,56.55999999999998,50.04990400000003,41.31677600000001,342.46000000000004,316.0,1,4,1.7500298259297715,21,9,0,0,0.8,0.8913043478260869,0.8636363636363636,0.7304946251768039,0.1206470127898148
qos,6,16196392786833377876,405,60.0,20db126ac5c81b3fc193e39bcf3a405dbc0b21e80f30f94d02575053dfd768b4,132,31,101,132,31,101,118,23,95,49.17999999999998,44.73655600000001,36.16397600000003,366.76000000000016,334.0,1,4,1.5707315307454184,8,9,0,0,0.7419354838709677,0.9405940594059404,0.8939393939393939,0.735339080927207,0.0986039262733122
qos,7,17534945296664351195,406,60.0,b9991c6e3c3b33b95acf8c6ce763fb94c902fa1a93f6921233da5f375e53d0e7,129,51,78,129,51,78,124,46,78,65.04000000000002,59.30673999999999,54.65373999999999,310.74000000000024,285.0,0,16,0.8428722784473431,6,6,0,0,0.9019607843137256,1.0,0.9612403100775194,0.8403096555965556,0.1758825384565873
qos,8,7721524649270048244,462,60.0,020ba94d1fe1818f83cb4740eb4207bc8b8ec92df1b8dcd208f5ce409baa287a,148,44,104,148,44,104,131,34,97,62.71999999999997,56.725148000000026,46.60790400000003,384.0800000000002,356.0,0,15,1.5096658019605451,17,9,0,0,0.7727272727272727,0.9326923076923076,0.8851351351351351,0.7431107142857152,0.121349468860654
qos,9,12146459574082073627,368,60.0,12106fa26dc0571d0b419f6af9464c8081f93e4288e448806c2c4f329d87d43a,118,39,79,118,39,79,114,36,78,53.21999999999998,48.1076,45.36342,304.6200000000001,276.0,0,11,0.8722332527017402,7,9,0,0,0.9230769230769232,0.9873417721518988,0.9661016949152542,0.8523754227733937,0.1489180618475477
qos,10,17284053281970983378,392,60.0,37d8482f924316a079a48b15e5e9f47a35dedd16c2a40c112c1a8d7dd02462ad,126,40,86,126,40,86,121,39,82,55.479999999999976,50.34423999999999,48.81863199999998,325.54000000000013,298.0,0,11,1.3172812994636978,11,9,0,0,0.975,0.9534883720930232,0.9603174603174603,0.8799320836337419,0.1499620077409841
qos,11,7072431907313911855,394,60.0,b5a6968f68d66a6ab2dc3725fe0637eaa068be491c303b0ba67172bd5217146b,126,34,92,126,34,92,125,33,92,50.55999999999997,45.03399199999999,44.142992,343.3000000000001,310.0,1,11,0.7391233572733086,3,6,0,0,0.9705882352941176,1.0,0.992063492063492,0.8730813291139244,0.1285843052723564
qos,12,3070316127303719649,521,60.0,ce15805ddfe8c70d6a48e86d1d75a8e69cf1dcdf7939501ba58e368493c1c528,170,44,126,170,44,126,157,38,119,66.68000000000002,59.208863999999984,52.415856000000005,463.4000000000006,422.0,0,8,1.4004160617292885,16,9,0,0,0.8636363636363636,0.9444444444444444,0.923529411764706,0.7860806238752248,0.1131114717306861
qos,13,3768509306115833742,483,60.0,a688bab95725115082afa310388648770f34c64978d064262c68c57601bcff69,155,43,112,155,43,112,148,37,111,63.15999999999997,57.305584000000046,51.54320400000004,414.6400000000002,379.0,0,15,0.9338836036591788,12,9,0,0,0.8604651162790697,0.9910714285714286,0.9548387096774194,0.8160735275490827,0.1243083252942311
qos,14,7361633738482078192,462,60.0,0d50a55d7f16335c721910aa65b33b867fd1aed2c79330dd26f122517b1ab0ff,150,43,107,150,43,107,148,41,107,62.25999999999997,55.59454800000001,53.61454800000001,400.00000000000017,364.0,0,9,0.7840185086156648,7,6,0,0,0.9534883720930232,1.0,0.9866666666666668,0.8611395438483784,0.13403637
qos,15,10873220219941715188,378,60.0,b3a24e7fdc93ca4f6108037bfc1a1019802c1491ab73cf386ccc1def8b1dec17,122,34,88,122,34,88,116,28,88,49.839999999999975,44.726292,38.98429200000004,327.70000000000005,298.0,1,7,1.01288906513115,6,8,0,0,0.8235294117647058,1.0,0.9508196721311476,0.7821888443017668,0.1189633567287153
qos,16,12623579580488790635,424,60.0,ab332ac4ffb9cc4bee2cf320127342390e7ac5ba1fb23cdab3b66704aebf9558,138,49,89,138,49,89,128,40,88,65.01999999999998,57.25631200000003,48.82093199999999,348.40000000000026,316.0,1,5,1.29342995155605,10,9,0,0,0.8163265306122449,0.9887640449438202,0.927536231884058,0.7508602276222701,0.1401289667049367
qos,17,10365885337706254127,426,60.0,dae54b21e9b2370a32d3c7621a7691e0839679c3f2ce9e6c8fab5a4397522d41,138,45,93,138,45,93,126,37,89,61.73999999999998,56.43002399999998,48.05352000000001,352.6200000000001,324.0,0,9,1.3920275715861476,13,9,0,0,0.8222222222222222,0.956989247311828,0.9130434782608696,0.7783206997084553,0.1362756508422664
